Genes,NGN2.BIO1755497.00012nM,NGN2.BIO2006152.00045nM,NGN2.BIO2059811.00261nM,NGN2.BIO2135644.00300nM
ZFP82,0.369571935573601,0.428174832634584,0.708989519406179,0.721315558578806
ERCC8,0.423559191747241,0.333467828886937,0.814691454101167,0.626475450863908
STX18-AS1,0,0.539588458848038,0.846158040273482,0.744571447003217
PCDH10,0.118893447914541,0.331126597808086,0.955246244398424,0.705320029563032
MFN2,0,0.299771092845179,0.95809151450574,0.837149851700996
STXBP5L,0.652327428493254,0.309644746667656,0.59581056118776,0.528352509926544
PMS1,0.187142009772445,0.256046332804865,0.665,0.972641993257173
STRN,0.480724409393122,0.561591679049676,0.544332557731128,0.455733386831665
ZMYM6,0.208581931628475,0.429320166160656,0.640317262937276,0.756328011739192
GXYLT1,0.384585601438174,0.464954019239359,0.609276539690644,0.553025786829149
TET1,0.370732011940926,0.286012400351239,0.754800591351573,0.58839462262025
MELTF,0.480565593575056,0.465721614010678,0.608320453642268,0.444974674492553
TIAM1,0.279937146057013,0.442312838970498,0.615695776615659,0.657429392114602
EXOC6B,0.294790087749042,0.471928660234407,0.485753853118923,0.709408307420776
AL031315.1,0,0.378690927677993,0.91751603441857,0.657388831141538
PRICKLE1,0.192370550612895,0.257428387849156,0.760783328079526,0.734111281082501
PIGN,0,0.290432766178831,0.919154054033302,0.725360103071291
VPS29,0.389220747957989,0.472591425678392,0.543057888724932,0.511324734889634
CACNA1C,0.523692045994325,0.318707663052567,0.532171334367443,0.540322487679078
WDR91,0,0.284090322814784,0.974292344627997,0.653102371795578
CDC37L1,0.149130017438743,0.162601434943518,0.875295132844524,0.721998771162797
WDR17,0.379,0.474,0.512,0.537
SNAP23,0,0.294143380262427,0.974131292612959,0.628509897570011
FGD4,0.309986657268661,0.129397045200975,0.945,0.512032912089907
GLRA3,0,0.30948726587756,0.765527410622181,0.812182524753002
DENND5A,0,0.258477247921269,0.929771907666706,0.679578479524155
THSD7B,0.126641413395223,0.202730562180864,0.948313548162821,0.563475535468904
AC026786.1,0.483384729870954,0,0.750144310040715,0.600772657392967
DPY30,0.264196871187743,0.287690554493696,0.703889821802781,0.562280869896782
APIP,0,0.360984054356923,0.803874375347084,0.647657591866683
AC009022.1,0,0,0.920619840965114,0.885318111612239
PDXDC2P,0,0,0.918981895042285,0.885435758584431
CACNB4,0.503,0.503,0.244235338949875,0.552180793046541
FAAP20,0.388182039537752,0.402346185484972,0.535291481141409,0.466
MEMO1,0.22842504224999,0.282516696077571,0.704704167013704,0.575958810882919
COPS7B,0.108,0.295976160703521,0.728050645620771,0.650270369286028
SEC22A,0,0,0.935698835775617,0.820171000343401
FAM162A,0,0.161595885036491,0.865438882826612,0.71915973122218
ENAH,0.235575391950944,0.352904172261174,0.547993382128794,0.59097186862577
ZMIZ2,0.285956155735738,0.226679980140746,0.503,0.711
SREK1,0.20682444594911,0.180090513583186,0.611760848932771,0.701217114285125
TPTEP2,0,0.209335054819556,0.794776929479299,0.693524757735119
SOS2,0,0,0.958160416216024,0.728976404203837
PDIA5,0,0,0.941625943119733,0.744758220262599
SLC7A6,0.147,0.36563638210185,0.608056508437652,0.565569541639761
RUNDC3B,0.253509475936842,0.289788763289561,0.699503074852927,0.428354727820825
TASP1,0,0.208408324656444,0.89307388587261,0.54509482617557
SETX,0.265889699744703,0.379189308361628,0.376961433553329,0.617260337022257
LYRM1,0.274582075108436,0.359,0.274,0.728
ADAMTS10,0.324140020324291,0.253491956954028,0.65297804530886,0.395881623050466
CHROMR,0.494,0.494,0.371,0.265
MYCBP2,0.406,0.317,0.489040094329338,0.404
DENND1B,0,0,0.935076885215786,0.655811660444098
FGF12,0,0.244784909902066,0.753398718489488,0.566654190558404
AC114490.2,0.201195068199809,0.291056602227168,0.447860697971274,0.619877035784785
FAM174A,0,0.240212810331443,0.69308071546871,0.623864750587591
MORN1,0.374246165645633,0.423681449186521,0.404157103766172,0.34645348955058
TSPAN7,0.119129537606003,0.372447775562998,0.54855311635151,0.50502429516848
DCAF17,0,0,0.925157645192823,0.619256691340677
ELMO2,0.297,0.293463468660988,0.53675059518687,0.413954709722836
HSD17B4,0,0.401866964908478,0.936954731617665,0.200404718004609
MATK,0,0.338255110008848,0.709656353917511,0.474052872228882
GPHN,0.351247938256907,0.26543547910976,0.458136326575392,0.446240645054638
LINGO2,0,0,0.781964121286041,0.73370429147396
SULF1,0,0.481215475725086,0.442653987375909,0.574681614571908
GGCT,0.33261393962472,0.388556123656635,0.386401695597059,0.385485819249519
EIF2D,0,0.353496225455713,0.579023478180765,0.545540835495011
TARBP1,0.382240282782659,0.319445939103832,0.389164194654346,0.37310783172318
ARMH3,0.381384388827453,0.317702574770545,0.279991973057579,0.47575606630035
KCNT2,0.29,0.181,0.968713189586796,0
ADAM17,0.375161725459801,0.288043701658911,0.363,0.40322391466541
TRIM65,0.355604801578387,0.349362046805314,0.350152070172908,0.352594765828911
AC138894.1,0.258,0.351,0.409,0.387
CLK4,0,0.265,0.646,0.49
CLN3,0.261,0.346,0.402,0.388
NR1H3,0.596311811663982,0.431676874762862,0,0.358744880970047
MLLT10,0.241045284097699,0.247721314547427,0.367586247294228,0.527340357253153
AL157871.6,0,0,0.665936692978613,0.715086292531772
SORCS1,0,0.22593295956879,0.653509055303182,0.498497714941983
IVD,0,0,0.833257967476597,0.521608090783168
EMSY,0.211662713904308,0,0.615813086406935,0.5102039736093
AC010538.1,0,0.342708497884411,0.510421217387668,0.484324721926608
GARNL3,0,0.230399349108987,0.311947413794271,0.793384132489481
HSD17B12,0,0,0.950074131743363,0.385195868269999
C14orf132,0.230377719826335,0.346705403202711,0.251876617333638,0.505497231599604
CACNA1H,0.19,0.366,0.418691668774011,0.358
AC068547.1,0.215426738736509,0.346249055011996,0.226114165166477,0.53846349696639
PNISR,0.24491590401691,0.325259287610545,0.308982589090262,0.447005795265127
ENOX1,0.186343318325314,0.140473622642542,0.485645794013684,0.498342655501411
CTTNBP2,0,0,0.777682139137408,0.530289966852704
ZNF618,0.243383887426365,0.184648419184256,0.441437726704105,0.437141757442697
BEND6,0,0,0.666,0.64
SLC24A3,0,0,0.74123023946735,0.560060323261016
MTERF3,0,0,0.890331400836402,0.410758466859249
AC068205.2,0,0,0.91552757913235,0.382514376522197
CPLX2,0,0,0.801158162932571,0.494942269631942
PRUNE2,0.239421188262889,0.302,0.377,0.377
TAF5L,0,0,0.645,0.645
RAP1A,0,0.251,0.505,0.528
ATP7B,0.15,0.30654765323495,0.330815215737851,0.49326214228404
RCC1,0.321218336596451,0.285329997766163,0.269388794676929,0.396121106257971
ADGRL1,0.192671989698062,0.18704894961405,0.43616260886575,0.432115908760052
DNAJC27,0.225407477656485,0.114,0.43983358535965,0.456307036590131
GRIA1,0,0.307400040682311,0.441083551419691,0.485666376485906
CYB5B,0,0,0.709237480015839,0.522156744064812
C10orf82,0.306,0.382,0.257,0.285
RAB2B,0,0.154483530996815,0.445692931003636,0.619997083937938
HIKESHI,0.104,0.167,0.523,0.418
HPS5,0,0.375201370829999,0.486585569265142,0.343759277966878
SNX7,0,0.245953448336556,0.601233400764302,0.356457728701656
ZNF433,0,0,0.704415540191533,0.497161159025257
CRYL1,0.247,0.286711617519362,0.176,0.488
MCAM,0.459023870577021,0.356805009714995,0.381571377018779,0
FHOD3,0,0.348687631605239,0.272213584394186,0.57385872095725
TRAPPC13,0.382,0.454,0.353,0
ZNF804A,0,0,0.681752554399362,0.504818718260051
DPH1,0,0,0.680684449400028,0.499278658516316
C19orf47,0.310177270115762,0,0.431467057164074,0.435588719260382
FAM124A,0,0,0.820313396836256,0.354325372133815
CCDC3,0,0,0.657234512479885,0.514580645223975
CSTF3,0.299520207084783,0.303553395551188,0.205874390424196,0.359942452947466
ZBTB7C,0.132590930981061,0,0.66849798681663,0.36200801510165
TP53INP1,0,0.3412813795386,0.384689783112626,0.421265540423226
HMGN1,0,0.162,0.644,0.339
LINC01011,0.356024689243043,0.348435514846458,0,0.437464051756237
PTPRT,0.139595166467691,0.200596617052305,0.412611081372956,0.371899991108292
STRN4,0.174113969091871,0.172011945992304,0.417,0.361437506529022
C2CD5,0.178,0.27087654584315,0.325882695646208,0.345544602772449
SF3B1,0.316,0.325,0,0.467
PPHLN1,0,0.210158473692888,0.492083452645331,0.4
WNK1,0.224551770066195,0.276698983890683,0.153253963700197,0.439951079267951
CHD9,0,0.101307047939906,0.568320631008324,0.412594385077012
LMAN2L,0,0,0.649955120674649,0.427539665579313
CHORDC1,0,0.298,0.385,0.385
LMBRD2,0,0,0.735141720173417,0.322898310259491
GABRB2,0,0,0.666882127242693,0.390085786197254
NIPA1,0,0,0.876,0.175534206085748
CHRM2,0.325365418374712,0,0.722096184073254,0
CDH18,0,0.217026286924553,0.381680908519862,0.439284029715974
SPRYD7,0.203010959075025,0.194587329797712,0.294142026857956,0.34024954589132
ZNF730,0.242123302117398,0.295570631566854,0.243487137948209,0.246299066090971
FAM110B,0,0.434449899936423,0.311,0.279
UBAP2L,0,0,0.691078280073609,0.327275425052855
DGCR5,0,0.355683399333477,0.391645712155011,0.255562145299456
SCO1,0,0,0.507159170877825,0.494626035608266
WSB1,0,0,0.572610219317989,0.42551516935761
FNIP2,0,0.183466378845164,0.451109380583074,0.361569753389976
RNF144A,0,0.156231495254715,0.510698552203921,0.323991693505657
MED13L,0,0,0.607641679695221,0.374795043082012
SUPT20H,0.103,0,0.579022653057159,0.292
CHN2,0,0,0.661962187694958,0.309693692387758
AC104009.1,0.122498834298803,0.209377183441711,0.340831371051453,0.296312610560189
TMEM50B,0.335779039926828,0.259943309454444,0,0.363985525370712
HAUS3,0,0,0.402822180241292,0.555837042594428
TET2,0.28396127106725,0.156226371684374,0.276770785720652,0.241070020083552
APPL2,0,0.189955230774432,0.385992390136036,0.378080328113955
SNAI3-AS1,0.431539435670036,0,0.517495826460646,0
RNF130,0.152,0.17,0.354566955897692,0.270448927029521
LARS2,0,0,0.586145047866973,0.352823425373697
ARMCX6,0.164723832534565,0.196167462836129,0.237100746884228,0.334859030306116
COG3,0,0,0.74699278404671,0.184444551787303
MUTYH,0.449755488429477,0,0,0.477779454212772
LNPK,0.118693530759772,0.103775453337192,0.432245508391614,0.26844424083612
CCDC88A,0,0,0.602557041359358,0.318968462106538
GNAQ,0.142102597632965,0.155490802224217,0.249895882967586,0.370778725118607
FAM177A1,0.295480683475384,0.348954889275343,0.273361466508818,0
NUDT22,0,0.212837995174444,0.433,0.270814184941175
RBCK1,0,0,0.528252299354085,0.383155362198486
TOE1,0,0,0.604146224457324,0.303060092918249
AZIN2,0.147,0.265605975851162,0.349575957882215,0.141
NUTM2A-AS1,0,0,0.507,0.396
SPIDR,0.1706959603008,0.134,0.291633805657029,0.297804543953642
CDC42BPA,0,0,0.521105282952979,0.366269562283456
CNOT1,0.178290106666846,0.173893407135876,0.257309591150333,0.272075198667511
VAV2,0,0,0.568926078649663,0.310585392648329
NLGN1,0,0,0.370375137372479,0.507686583019875
PRKG1,0.168502673883475,0,0.471489416757153,0.237205712382415
IFT57,0,0.100279983322984,0.518983376666761,0.257895063881967
PPP4C,0.23,0.233,0.176,0.227
MACROD2,0.213077543303197,0.211318949283345,0.175839766092004,0.263167722843233
LRP1B,0.310763879692309,0.304679412445118,0,0.247451924073468
PRPF39,0,0,0.523171497820396,0.337026296937067
AGPS,0,0,0.441486040568078,0.417753599036872
GFRA3,0.286140038246419,0.273073182926618,0,0.296935854266282
ZNF767P,0,0,0.532167408437441,0.319711400619199
TNIP1,0,0.235454474229778,0.304029095206574,0.307991591143078
PRPF31,0,0,0.6391797715018,0.20525486911022
ANP32A,0,0,0.363418848697689,0.475099155806392
INVS,0.40024558335142,0,0,0.432182128128909
ZNF169,0,0,0.50961002087777,0.322085291106778
MMS19,0,0,0.557506087272007,0.272480587544819
TRAF3,0,0,0.576807672114318,0.236776484999033
DDX42,0,0,0.635706935960534,0.16543107118809
KLHL4,0,0,0.45252755034516,0.344557648759211
SAR1A,0,0,0.602475201928419,0.189040419909351
UBE2V1,0.166,0.164,0.232,0.229
ELMOD3,0.303,0.243,0.245,0
TMEM198B,0.17,0.207,0.164,0.243
SPPL2B,0,0,0.496793176256236,0.285159919400388
LUC7L3,0,0,0.47461111743324,0.305687962014217
KIF3A,0,0,0.638,0.131
CHD2,0,0,0.633336446409456,0.126643710457664
MAST4,0,0,0.482819786700268,0.276682052643525
ZFYVE26,0,0,0.518472251055688,0.232800820447391
ELP4,0,0.179098645180155,0.253922031659541,0.318138675425464
TRERF1,0.137,0.119,0.330691335406106,0.152
ATG4A,0.106,0.157,0.203,0.271
SLC27A1,0.209052315601133,0.240117815183416,0.28657346135449,0
COPS5,0,0,0.401224259338315,0.32276850819145
AC036214.3,0.178890215023457,0.180298447191215,0.177272406292528,0.183151378386812
MSL3,0,0,0.358,0.358
PRMT7,0.132,0.191049449155765,0.193563736844537,0.196465801911708
AC022433.1,0,0.173591458007689,0.25403795613905,0.283745235007735
PIK3CD,0,0,0.463221546118452,0.237632123818262
CBWD3,0,0,0.388966829233053,0.311027709843244
TSTD3,0,0.412979523512199,0.284907547404337,0
WASH6P,0,0.347246917646818,0.345399912169379,0
LINC00662,0,0.191,0.25,0.25
TMEM74B,0.400073520398511,0.288666937318065,0,0
WNK3,0,0,0.35813245147711,0.329545481820829
AKAP9,0,0,0.397601267054253,0.287933135350019
GTPBP8,0,0.135,0.279168342901046,0.271335734066163
DOCK3,0,0,0.4297198984017,0.254358446568241
EPM2A,0,0,0.315448111075451,0.367742784175817
ANKDD1A,0.12,0.30055408766283,0.125,0.137
MFSD8,0,0.138,0.252,0.29
FBL,0.259467685317266,0.187314922845142,0,0.233186129724179
FOCAD,0,0,0.559843743725711,0.12
STAG3L5P-PVRIG2P-PILRB,0,0.322,0.356,0
NSUN4,0,0,0.445157495154738,0.230048933561515
CCDC18-AS1,0,0,0.41,0.265
MTR,0.173,0.156,0.173,0.173
YPEL5,0,0,0.389998646606891,0.281715095095118
NSMF,0,0,0.670337423197795,0
CTNS,0,0,0.373407556914784,0.296739948723354
TVP23A,0.199,0.176,0.102,0.193
AL390879.1,0,0,0.668400944907818,0
CEP164,0,0,0.375,0.293317389701196
BECN1,0.22631486338924,0.16061627502048,0,0.281373560093816
ZMYM2,0,0,0,0.663
PCBP1-AS1,0.258128587495527,0.274,0.126510479209791,0
CDK5RAP2,0.16,0.243,0,0.254
VSTM2L,0,0,0.341850704023921,0.313835162070587
SCLT1,0,0,0.317,0.337
EXTL2,0,0,0.25930945566047,0.392774130103935
STOX2,0.155089313300478,0.188731977613345,0,0.308225384237584
HTR3A,0,0,0.333317594314282,0.316304498074753
VPS13A,0,0,0.385856344103619,0.2602327110563
MTHFSD,0,0,0.280720725042537,0.362106579635872
SGCZ,0,0,0.464569830940498,0.176798169256234
DCUN1D4,0,0,0.408631543042787,0.232490045339562
ANKS3,0.237,0,0.244,0.16
SNHG17,0.321,0,0.105,0.214
OSBPL5,0,0,0.434038739952613,0.205450143167998
SNTG1,0.106,0.106,0.111,0.313755297846059
PDCD4,0,0.215,0.213,0.208
DDX50,0,0,0.45259781710845,0.181078346658327
SPATS2,0,0,0.517152824260743,0.116155491795531
EIF4G2,0.347609841245498,0,0,0.284575082075536
ATP8A2,0.219354141218708,0.167964155789394,0,0.242812943776291
FUS,0,0.324,0,0.305
L3MBTL1,0,0,0.629,0
BLMH,0,0,0.385297047090553,0.242782302371932
PRKACB,0,0,0.232415971703124,0.395554454569177
MAP6,0,0.213706398341351,0.243199396712417,0.169230034509214
WDR37,0,0,0.422,0.202
FAM161A,0,0,0.364229038433204,0.258262980326149
MAN1B1,0,0.202028428526183,0.179276285575129,0.235123282870631
TMEM116,0.347926919659104,0,0.266322671065364,0
RARS2,0,0,0.612765701836095,0
NAALAD2,0,0,0.294378969578205,0.316672196655046
SSR1,0,0,0.37154718690957,0.237974166876404
CYLD,0,0,0.460894441622561,0.14424218410365
PEPD,0,0,0.409,0.191
ACVR1B,0,0,0.376772998602653,0.222245986046603
SYTL2,0,0,0.332295586489255,0.263714349653753
SNHG16,0,0,0.474912142286867,0.121
SLC12A2,0,0,0.595101684123306,0
SH3YL1,0,0,0.283,0.312
CLTC,0,0,0.367243046203837,0.225046311373942
REX1BD,0,0.225,0.178,0.189
EWSR1,0,0,0.234,0.353
REPS1,0,0.161,0.125,0.301
ARHGAP5,0.183594945587858,0.20064438454766,0,0.202659994518793
ZNF518B,0.168,0.121,0.168,0.126
ANKRD13C,0,0,0.355434946272693,0.225727185068584
SIN3B,0.310766859319958,0,0.268679255312056,0
OBSL1,0,0,0.306,0.273
STAG3L1,0,0.286809959546561,0,0.291428035551182
POLR2J4,0.284915581013768,0,0.291814727297258,0
TNPO3,0,0,0.306513887234819,0.268365378212758
ERC1,0,0,0.408165870520783,0.164209247254682
APBB2,0,0,0.453350204764469,0.119
NR6A1,0,0,0.271560112712854,0.299363770404002
FKBP7,0,0.143,0.275,0.151
CDC14B,0.29425948358276,0.27309532300955,0,0
AL049650.2,0,0,0.5668487162112,0
AC020915.3,0,0.191654750419375,0.37260038190545,0
KIAA0895L,0,0,0,0.562420318560239
TUBE1,0.105,0.12,0.171411376745325,0.165607169956813
GRM1,0,0,0.284,0.278
C2orf42,0,0,0.322621257318182,0.239234676542097
PIK3R1,0,0,0.378606613122223,0.182818836637324
FGF14,0,0,0.283368495406456,0.277658940017159
MTMR1,0,0,0.560816103392764,0
FAM47E-STBD1,0,0.270351492210909,0,0.289773732830553
SF3B3,0.148425360641375,0.139866103566921,0,0.270662311616027
GALNT11,0,0,0.553294532847826,0
SFI1,0.194566597371159,0.357599848172591,0,0
VCAN,0,0,0.307074895163291,0.245036145756219
EP400,0,0.269,0.283,0
ASNS,0.191,0,0.169445289839321,0.190328862848231
PDS5B,0,0,0.393881224292059,0.156
USP6NL,0,0.167948573934167,0.208431788700515,0.171166275881304
REEP3,0,0,0.274320674934936,0.272333324538849
ADAM23,0,0,0.290111771124372,0.25389399112375
ABHD10,0,0,0.403458991857741,0.139460481344675
AKAP7,0,0,0.540806872519418,0
NRL,0,0,0.538364763519526,0
CYB561D1,0.123,0.131,0.123,0.16
JPX,0.191,0,0.189,0.157
FAM47E,0,0.243448967597307,0,0.292183681668542
CTDSPL,0,0,0.285343842771436,0.249
P3H4,0.112,0.128,0.138,0.156
ABCC5,0,0.175,0.133,0.225243016725944
KIF21A,0,0.130160113935902,0.206752735503058,0.193982371937825
NLN,0,0,0.294536044415704,0.235748729089714
NAA60,0.144,0.171,0,0.215
TNRC6A,0,0,0.346620343638938,0.180771371178695
GREB1L,0.26717370566543,0,0,0.259200464200972
QRICH2,0,0,0.272,0.252
MYT1,0,0,0.143843860621668,0.379
RASGRP2,0,0,0.268915516662424,0.251598194248053
FAM174C,0,0,0.264287912140216,0.254413038891892
SYN3,0,0.152750089423482,0.365099477001812,0
RAB8B,0,0,0.517132281050088,0
ITGB3BP,0,0.197957090649794,0.318734725179407,0
YAF2,0,0,0.370582367771761,0.146
PARP16,0,0,0.228456359090349,0.284665590641494
FAIM,0,0,0.512851278700969,0
TMEM91,0,0,0.329,0.183058239259006
CMSS1,0,0,0.324790603670735,0.186396213432993
PPIP5K2,0,0,0.509708518829707,0
NPEPPS,0,0,0.295576798024115,0.21366015985969
AP004608.1,0.509,0,0,0
DIABLO,0,0,0.265439739742521,0.242138744748219
SETD5,0.171,0.112,0.102,0.119
JMJD1C,0.183,0,0.109,0.211
PDCD6,0.166,0.166,0.166,0
LIAS,0.118,0.219,0,0.16
ZNF585B,0,0,0.496285259430846,0
RBMS3,0,0,0.207656676723994,0.287910603211166
SOX5,0.276228823818133,0,0.217010797188154,0
ARPP21,0,0,0.492875723450767,0
TTC7B,0,0,0.323442858820924,0.167915414825604
SCHIP1,0,0.181,0.119,0.191
C9orf85,0.241615887702263,0,0.248980687726973,0
HCFC1R1,0.107,0.277752688040069,0.105,0
UNC13A,0,0,0.250961994503399,0.238463724948289
PLEKHG3,0,0.265608004629459,0.223286820350203,0
OPHN1,0.211632910227716,0.139,0,0.138
TXNL4B,0,0,0.267605073072568,0.220307432069479
MDN1,0,0,0.281022709204065,0.206538007087931
CCNT2,0,0.209713295616978,0.27744705535067,0
TTC25,0,0,0.255,0.232
MCFD2,0.133,0.138,0.21455539320677,0
COP1,0,0,0.362695817077064,0.122
LINC01278,0,0.127,0,0.356487192089014
INO80E,0,0.483,0,0
MRPS28,0.11,0.114,0.125,0.133
ZNF721,0,0.223198222772201,0.258723548177207,0
MGRN1,0,0,0.333589092694155,0.148
CDC40,0,0,0.480500731833992,0
AL157778.1,0,0,0.320102805987546,0.159913718175696
ZBTB49,0.293818001285628,0,0.185216564007843,0
ASGR1,0.244,0.235,0,0
RGPD6,0,0,0.239197481076753,0.236867359043309
FBXO7,0,0,0.475,0
SLC41A3,0,0,0.222605138599656,0.251121443022511
CAPRIN2,0.197219046820575,0,0.276233822671682,0
ZNF484,0.276,0,0,0.196919952426921
NEK11,0,0,0,0.472871165026109
ZSCAN31,0.236,0,0,0.236
PRELID3A,0.227688548732151,0.243638533423636,0,0
CDK10,0.179,0,0.127,0.165
CTNNAL1,0,0.231897865018698,0.238558649940125,0
FBN3,0,0.116,0.146,0.208
SNX24,0,0,0.266119702808586,0.203115752724353
KIF1B,0,0,0.239,0.23
NELFA,0.251157905642728,0,0.217834675047057,0
AC138409.2,0,0,0.352312553332566,0.11597811676615
RERE,0,0,0.30698500104895,0.159186288042376
ST6GALNAC4,0,0.217,0.247,0
SCLY,0.463,0,0,0
NCR3LG1,0,0.192133893943561,0.268480062801487,0
LINC00963,0,0,0,0.46
TSPAN2,0,0,0.457317001859504,0
CYTH2,0,0,0.452432396856085,0
KAT6B,0,0,0.202,0.25
AC044860.1,0,0,0.451825424651442,0
SGK1,0,0,0.279447098908088,0.171208562765079
THADA,0,0,0.179,0.270991623390559
FBXL16,0,0,0.256897188714422,0.192770626580917
RPF2,0,0,0.296160532149502,0.152774727657106
PITPNB,0,0,0.448374205287126,0
CNTN1,0,0,0.212160874199329,0.236084905526084
AL451136.1,0.118,0.104,0.107,0.118
ZNF777,0,0.244303580487236,0,0.202542620403334
UNK,0,0,0.242047948391303,0.20344116917319
TNFRSF25,0,0,0.444442435627895,0
UBP1,0,0,0.201460005943678,0.24172320853453
NQO2,0.154,0.122,0,0.167
ANKS1B,0,0,0.442538521979875,0
LRRC28,0,0.12,0.171,0.151
FAM86B2,0,0,0.441344616850937,0
AC091729.3,0.438155057251527,0,0,0
ACAD10,0.117,0.118,0.203,0
AC012213.1,0,0.193,0,0.244
ADCY3,0.13,0,0.131,0.176
CCT6B,0,0,0,0.436493609621737
RIF1,0,0,0.320046825928055,0.116
RBFOX1,0,0,0.203,0.233
REV1,0,0.221,0.214,0
PRKDC,0,0,0.152,0.282514836102524
ECM1,0,0,0.433906178632527,0
ARID5B,0,0.291778434285889,0,0.141
PHF12,0,0.149,0.121,0.161
ABCD4,0.149,0,0.281899398868123,0
PBLD,0,0,0,0.430488947204525
FBXO38,0,0,0.235,0.195
TMEM53,0,0.114,0.190420229097359,0.125
ANK2,0.157290264248418,0,0.117917946551924,0.151930590873457
BOD1,0,0,0,0.426220598632386
SYMPK,0,0.197,0.228,0
SPTLC1,0.109,0,0.188,0.127347682596805
ACYP2,0,0.108,0.20839123479549,0.107
TXNRD2,0.2099452080739,0,0,0.213410807005514
NUP85,0,0,0.125,0.297
STXBP5-AS1,0,0.210368239197822,0,0.211
GLRB,0,0,0.42,0
CEP41,0,0,0.259017968714761,0.160082432879832
MAPK10,0,0,0.245709277129833,0.173005544857551
IGSF1,0,0,0.418126764721345,0
THUMPD3-AS1,0,0,0.161,0.256506921969645
SLC25A36,0,0,0.257531686422242,0.159863180573461
ZDHHC8P1,0.223,0.191,0,0
SLC2A6,0.166,0,0.127,0.12
NFKB1,0,0.24431898287764,0.168,0
NBR2,0,0,0.15,0.261
BICRA,0,0,0.410523560305746,0
AVL9,0.152994450383681,0.102782487735134,0,0.15449166712748
DENND4A,0.410144196167056,0,0,0
ATG5,0.228456381449913,0,0.179477579107217,0
DGCR9,0,0,0.267840350195725,0.140088927006514
LINC01881,0.238493409851571,0,0.168,0
RAB3IP,0.406,0,0,0
RANBP10,0.193218994421933,0,0,0.212610791734556
SYT14,0,0,0.282996734422366,0.121
GPATCH2L,0.106,0,0.196,0.101
PCDH9,0,0,0.163795599020673,0.239045798740085
NAPA,0,0,0.401,0
FER,0,0,0.400965644409414,0
DYRK1A,0,0,0.4,0
PIP5KL1,0.121,0.154,0,0.125
YWHAH,0.399320605147668,0,0,0
CLEC16A,0,0,0.159,0.24
IL11RA,0,0,0.39837423119439,0
NAV2,0,0,0.230872746091079,0.167
PCID2,0,0,0.246279521623864,0.151
PTPA,0,0,0.231,0.163
