,dPSI_BIO2197294_CHX_vs_BIO2197294_EtOH
LRP4,0.255560777841203
LRRC37A2,0.410314443551194
LTN1,-0.402990390867891
LUC7L,0.290881321955873
LUC7L2,-0.276406334982827
MAN2A1,-0.400310302058637
MANBA,0.260436971054857
MAP3K15,0.285687132811482
MAST1,-0.35819812733587
MBTD1,-0.276288112737769
MCEE,0.477465620386613
METTL22,0.455176472512904
METTL6,0.279966593411375
MIA3,-0.269759922979103
MITD1,-0.324302230056625
MLLT10,-0.33082389463994
MMP17,0.307308872940702
MMP25.AS1,0.333646929968155
MOV10,-0.288952623811293
MPPE1,-0.272638936977387
MRPS27,0.430924360490992
MRPS31P5,-0.34342228926909
MRPS6,0.271025654371388
MSANTD2,-0.301609174410737
MSH5,0.386481979477352
MTA3,0.358451460457341
MTAP,-0.284000999796033
MTMR4,-0.259636877499092
MUC20.OT1,0.278265249698587
MUS81,0.269912154934776
MUTYH,0.257470754118471
MYO19,-0.29562502964193
NAA16,0.265453566269707
NAA25,0.280220838563803
NAALAD2,0.251061779048475
NADSYN1,-0.252831702537067
NAF1,-0.261611754977668
NAT1,0.292162316567757
NCOA6,-0.256006034598955
NCOA7,-0.328805265498531
NKTR,0.270435631877665
NOD1,0.293642582105487
NOM1,-0.28285164311543
NOTCH2NLC,0.378892778997364
NR2C2,-0.267107444887483
NSRP1,0.321479734858674
NSUN5P1,-0.277060567396738
NUDT16L1,0.481212438769686
ODR4,-0.398947494139593
OLA1,0.416089166067704
ORC1,-0.301050894077244
OSGEP,-0.33136384632485
OTUD3,0.354748274753804
OXSR1,-0.252783596688266
PAN2,-0.277567980631903
PAN3,-0.265526247693382
PANK2,0.306381315830914
PANK4,0.56382660893447
PARG,-0.382858700381895
PARGP1,0.407992030252458
PARP4,0.260735570858581
PATL1,-0.445885569282102
PAXBP1,0.527097758747379
PCCA,-0.364752376974193
PCIF1,0.254098638722756
PCMTD1,0.272911806659709
PCOLCE,0.340048232343699
PCSK5,0.314747962938678
PDCD6IPP2,0.519470187935151
PDE5A,0.273349968010654
PDSS1,0.390376703134903
PDXDC1,0.255049852282977
PGAP3,0.260096542365367
PHB2,0.413696810483865
PHC3,-0.255804829673774
PHIP,-0.35807210603995
PIAS3,0.318517998883615
PIDD1,0.502245596235346
PIF1,0.264976580051342
PIP4P2,-0.349139131597928
PISD,-0.322033070736412
PLA2G15,0.278675065467768
PLA2G6,-0.453138168515282
PLAUR,-0.262966347808381
PLEC,0.292313361279057
PM20D2,-0.299281053708003
PNPLA3,0.267882487336278
POGLUT1,-0.351678194942303
POLG,-0.392211616138797
POLQ,0.301261539222419
PPCS,0.427132703001607
PPP1R3F,0.298357743908359
PPP3CC,0.299871094166684
PPP4R3A,-0.37703591180696
PRKAB1,-0.255360037266505
PRKG2,0.266199138728655
PRKRA,-0.43517879700562
PRMT9,0.309894636459091
PRPF38B,-0.38964121394244
PRPF39,-0.405045536649938
PSMG3.AS1,-0.312879420493636
PTBP2,0.630466626489612
PTPN21,-0.272446925960412
PTRH2,-0.321176418906598
PUS10,0.339186605078455
QRFPR,0.289825762833499
QSOX2,0.331192107699044
RAB5A,-0.266417206034308
RABGAP1,-0.384846283155253
RABGAP1L,-0.291637071697288
RAD54B,-0.259924376770773
RALGAPB,0.261053485647776
RAPGEF6,-0.343539721469951
RBMX,0.252893305660766
RCBTB2,0.468967723661594
RELCH,-0.444721970461691
REXO5,0.263122210402564
RHBDD2,0.258931748590163
RHBDD3,0.28368364896353
RIC8B,-0.311682846430332
RIMKLB,0.422328160040425
RIOK3,0.366769510854709
RMND5B,0.31327617108661
RPS6KA4,0.283744920715304
RPS6KB1,-0.286535951080625
RRAGB,-0.514773332924476
RSRC2,-0.358950771375991
RSRP1,0.263554228543012
RTTN,0.295368020170932
S100PBP,-0.296195029056519
SAFB2,0.251660437363957
SAP30L,-0.28447976774453
SCAND2P,0.390036373546361
SDF2,0.257239045434819
SDHAP3,-0.532194947914439
SDK2,-0.311615743380683
SEC24A,-0.263415802376531
SELENOO,0.26487017342348
SEMA6C,-0.483071719454864
SENP7,-0.258561277498408
SF3B3,-0.360580979773482
SFMBT2,0.304559867968421
SFPQ,0.264407160539914
SIAE,-0.346431458150998
SLC15A4,0.342897288658807
SLC1A3,-0.320566234010226
SLC20A2,-0.294149218283055
SLC22A15,-0.254958334555453
SLC25A12,-0.267161823918926
SLC25A25,0.279431871357076
SLC35F5,-0.310214618257073
SLC36A4,-0.398274405942468
SLC38A6,-0.378752524158254
SLC38A7,-0.275453751207007
SLC39A1,0.628529489518924
SLC4A7,0.277053361795464
SLC6A6,0.276893898540393
SLC7A6OS,0.453459603094988
SLC9A5,0.251450372602162
SLX1A.SULT1A3,0.344051836023649
SLX1B,0.354054719268987
SMAD4,-0.264603016408069
SMARCD3,-0.284401194125783
SMC6,-0.265557013341356
SMG8,-0.271250691457797
SMNDC1,-0.27874854631735
SNHG20,-0.352462629263131
SNRNP48,0.305459515527773
SNX14,0.268387469219836
SNX27,-0.336484279553874
SP4,-0.34286656679918
SPATA5L1,0.476692107115965
SPIN2B,0.412207759232051
SPRYD7,-0.286806506906782
SRD5A1,-0.253419112190343
SREK1,-0.292778782257147
SRR,0.327987478555427
SRSF4,-0.362414993936834
SRSF6,0.259154643022951
SSH3,0.305803692819457
ST7L,-0.384869073434344
STAG3L4,-0.373111785845188
STAP2,-0.272973633203939
STAT2,-0.301781956986687
STRA6LP,-0.430504450294363
SUPT3H,-0.315607177919438
SUZ12P1,0.286306554214839
TAF1,-0.332756325632482
TARBP1,-0.263572943924444
TARDBP,0.293062278664243
TARS3,-0.341596608398373
TBC1D23,-0.279107316636946
TBCK,0.303645493628293
TBX18,-0.293661321841139
TCERG1,-0.360950496773369
TCF25,-0.304689770563457
TENM1,-0.368583107966877
TERT,0.304652729708539
THUMPD2,0.258821473759206
TMC7,0.347992076281024
TMCO6,0.265938143279381
TMEM120A,0.331183134379049
TMEM128,0.263125206680811
TMEM222,-0.365580419531682
TMEM39B,-0.301399729562801
TMEM50B,-0.292771093394578
TOE1,0.354454494750857
TOGARAM1,-0.278342156485719
TOMM20,-0.274396775571684
TPCN1,-0.394722068432446
TPM2,-0.250485051525643
TRAPPC2,-0.301975921060013
TRAPPC9,-0.284836648631345
TRIT1,0.284684942277107
TRMT11,-0.406538393552143
TRMT44,0.475184434503725
TRMU,0.253538205593127
TRNAU1AP,-0.372518413774266
TRNT1,-0.2824208898849
TSPYL2,0.588213561127279
TTC38,-0.395789320489321
TTC39C,-0.333689128172471
TTC8,-0.251242946352859
TTC9C,-0.363032999949994
TTF1,0.295196440961458
TUBG2,0.386024922936644
TUBGCP4,0.276331119506554
TUBGCP5,0.301207821651135
TUT7,0.264761655358238
TXNDC16,-0.41215774238019
UAP1L1,0.274328500236863
UBA6.AS1,0.273323080366019
UBE2Q2P12,-0.250582012708956
UBE3B,-0.283525688216915
UBP1,-0.269884617621843
UBR3,-0.258070408432294
UFSP2,0.281464514742836
UGGT2,-0.306275362839222
UHRF2,-0.312511693925822
ULK4,0.28885371313433
UNKL,0.328129524604378
USP15,-0.352747082811769
USP2,0.322482601605309
USP24,-0.262768904447216
USP35,0.339833230213386
UTP18,-0.255801579256089
VASH1,-0.251209274729617
VCPKMT,0.272937263828337
VEGFC,0.362094349568759
VPS11,-0.264809650181951
VPS36,-0.369860813117783
VPS8,-0.297661304734974
WASHC3,-0.253614410176504
WASHC4,-0.462606330029284
WDR27,-0.252606065329266
WHAMM,0.280185291933977
XPA,-0.395479849966625
XPNPEP3,-0.291333520526194
XRN2,-0.490080712734145
YAF2,-0.263390835209932
ZBTB41,-0.259190985686865
ZDHHC17,-0.383115430044241
ZFAT,-0.344592905627345
ZFP41,0.27811808411339
ZHX3,-0.375449304895669
ZKSCAN5,0.263049690761458
ZNF131,0.279772613444477
ZNF185,0.310033597504528
ZNF197,-0.304501778642335
ZNF207,-0.262929655962099
ZNF226,0.349967524552648
ZNF236,-0.252983212617301
ZNF268,0.278665147607605
ZNF276,-0.259988952780572
ZNF324B,0.299636432504338
ZNF35,-0.260830607908769
ZNF429,0.456203549948749
ZNF512B,0.305017108525712
ZNF529,0.309936388418464
ZNF530,-0.282822233935199
ZNF577,0.325824339006093
ZNF599,0.336827518648037
ZNF688,-0.252891461456024
ZNF711,0.308175321371401
ZNF747,0.265635007895142
ZNF75D,0.263839593819757
ZNF783,0.324281032275678
ZNF789,0.332193123928288
ZNF827,0.272586498872784
ZNF880,0.276357073924705
