Row.names,dPSI_BIO2195127_CHX_vs_DMSO_CHX.x,dPSI_BIO2197294_CHX_vs_DMSO_CHX.x,dPSI_Branaplam_CHX_vs_DMSO_CHX.x,dPSI_U1_mut1_100_CHX_vs_DMSO_CHX,dPSI_U1_mut1_500_CHX_vs_DMSO_CHX
PTP4A2,NA,NA,NA,NA,0.830083888634323
PTPRJ,NA,NA,NA,NA,0.26286736107836
RAF1,NA,NA,NA,NA,-0.267036251902561
RAMP2.AS1,NA,NA,NA,NA,0.424811104158064
RAPGEF1,NA,NA,NA,NA,-0.354003459820656
RBBP8,NA,NA,NA,NA,-0.36432669564377
RC3H1,NA,NA,NA,NA,-0.343059676426025
RICTOR,NA,NA,NA,NA,0.449666857417349
RPL23AP82,NA,NA,NA,NA,-0.27538281118009
SCO1,NA,NA,NA,NA,-0.283912769668085
SDCBP2.AS1,0.335695600207633,NA,NA,NA,0.27526170185816
SEPTIN7P2,NA,NA,NA,NA,-0.358975739377573
SETDB2,NA,-0.290591231220746,NA,NA,NA
SF3B3,NA,NA,NA,NA,-0.272207164406164
SH3YL1,-0.263137188402097,NA,NA,NA,NA
SLC25A12,NA,NA,NA,NA,-0.308274977628609
SLC25A21,0.256057444905676,NA,NA,NA,NA
SLC25A23,NA,-0.336391553753169,NA,NA,NA
SLC7A6,-0.266129625160916,-0.268370874964388,-0.289599615793752,NA,NA
SMAD9,NA,NA,NA,NA,0.437180438097574
SMPD4BP,NA,NA,NA,NA,-0.30718398164356
SNIP1,NA,NA,NA,NA,-0.392560218405853
SNX13,NA,NA,NA,NA,-0.272752609686185
SNX4,NA,NA,NA,NA,-0.422441174463238
SNX7,NA,NA,NA,NA,0.258688007166671
SOCS6,NA,NA,NA,NA,0.27109363147257
SOS2,NA,NA,NA,NA,-0.322498765961121
SPEF2,0.539757969520761,0.372656075980895,0.4066761057032,NA,NA
SPIDR,NA,NA,NA,NA,0.353665409810662
SPRYD7,-0.300503682618107,-0.317030977913162,NA,NA,NA
SREK1,0.262321863695457,0.263004435210929,-0.292699157567583,NA,NA
SRGAP1,NA,NA,NA,NA,0.462216944528321
SSH2,NA,NA,NA,NA,0.485218409922735
STAT1,NA,NA,NA,NA,-0.250772449411174
TAF2,-0.375234547826407,-0.385154281452812,-0.392393460537101,NA,-0.297009782797575
TAF6,NA,NA,NA,NA,0.323274765320933
TANC1,NA,NA,NA,NA,-0.282388855500668
TENT2,0.254475978323817,0.254992732223773,0.285937025533409,NA,NA
TIA1,NA,NA,NA,NA,-0.275812886627663
TIAM1,-0.332516706526901,-0.34469985343137,-0.358221948652768,NA,NA
TLE4,NA,NA,NA,NA,0.763621062467748
TMC3.AS1,NA,NA,NA,NA,0.2820179191823
TMEM165,NA,NA,NA,NA,-0.354127937178008
TMEM184B,NA,NA,NA,NA,0.318747934529609
TMEM50B,-0.259871078653757,NA,-0.294365170338533,NA,-0.371014541847763
TMX3,NA,NA,NA,NA,-0.35055250311555
TRAF3,NA,NA,-0.306029388574996,NA,-0.391562333325767
TRAPPC10,NA,NA,NA,NA,-0.308417501365819
TRIM41,NA,NA,NA,NA,0.273304100791566
TSC1,NA,NA,NA,NA,-0.352769141550317
TXNDC16,NA,NA,NA,NA,-0.280221425849421
TXNL4B,NA,NA,NA,NA,-0.305221156506853
UBN2,NA,NA,NA,NA,-0.366377674739149
UPF1,NA,NA,NA,NA,-0.533285006016656
VAMP1,NA,NA,NA,NA,0.262227263886329
VIRMA,NA,NA,NA,NA,-0.300601437954465
VPS54,NA,NA,NA,NA,-0.258651199589843
VWA8,NA,NA,NA,NA,-0.259773855153845
WDR27,-0.320152578855122,-0.349737461681053,-0.32431890702285,NA,NA
WHAMMP3,NA,NA,NA,NA,0.263789582097692
WNK3,NA,NA,NA,NA,0.370843040583993
XRN2,0.253207514717574,-0.414765746905044,-0.442064446190405,NA,NA
Z69733.1,0.261372686706905,NA,NA,NA,NA
ZBED3.AS1,-0.30183220009377,NA,NA,NA,NA
ZDHHC17,NA,NA,NA,NA,-0.345477268056495
ZFP62,NA,NA,NA,NA,-0.313939826242324
ZFR,NA,NA,NA,NA,-0.305131285498054
ZFYVE1,NA,NA,NA,NA,0.25097813242719
ZMIZ2,NA,NA,NA,NA,0.445645199043131
ZMYND8,NA,NA,NA,NA,-0.35289034348181
ZNF37BP,0.323839093643514,NA,0.320572079800541,NA,NA
ZNF385A,NA,NA,NA,NA,0.280561387826132
ZNF777,NA,NA,NA,NA,0.317623455974041
ZNF836,NA,NA,NA,NA,0.282392295271493
ZYG11A,NA,NA,NA,NA,-0.259391043057382
