Row.names,dPSI_BIO2195127_EtOH_vs_DMSO_EtOH.x,dPSI_BIO2197294_EtOH_vs_DMSO_EtOH.x,dPSI_Branaplam_EtOH_vs_DMSO_EtOH.x,dPSI_U1_mut1_100_EtOH_vs_DMSO_EtOH,dPSI_U1_mut1_500_EtOH_vs_DMSO_EtOH
SMAD9,NA,NA,NA,NA,0.556365881991332
SMPD4BP,NA,NA,NA,NA,0.343391237369323
SNIP1,NA,NA,NA,NA,-0.277251701327604
SNX7,NA,NA,NA,NA,0.265753178652867
SOCS6,NA,NA,NA,NA,0.319039799606389
SPIDR,NA,NA,NA,NA,0.381167751872864
SPTLC1,NA,NA,NA,NA,-0.286139795365147
SSH2,NA,NA,NA,NA,0.48248677885825
SYNE1,NA,NA,NA,NA,0.334814939086232
TAF2,-0.363238182803096,-0.35032882548587,-0.341623033618384,NA,-0.284500080472582
TAF6,NA,NA,NA,NA,0.264345331899628
TBC1D14,NA,NA,NA,NA,0.258333160392101
TBL1XR1,NA,NA,NA,NA,0.575808574203559
TEPSIN,NA,NA,NA,NA,0.255215914925234
TIAM1,0.276289961954822,0.27996069836033,0.304631179876414,NA,NA
TMC3.AS1,NA,NA,NA,NA,0.537154983266451
TMEM159,NA,NA,NA,NA,0.257598824593623
TMEM184B,NA,NA,NA,NA,0.359330861911451
TMEM237,-0.327098609194338,NA,NA,NA,NA
TPT1.AS1,NA,NA,NA,NA,0.284195587786037
TPTEP2,-0.270877868719608,NA,-0.260400282552055,NA,NA
TRAPPC10,NA,NA,NA,NA,0.294902446921859
TRIM41,NA,NA,NA,NA,0.34408027850911
TXNDC16,NA,NA,NA,NA,-0.327489237897421
TXNL4B,NA,NA,NA,NA,-0.411499834308164
UBOX5,NA,NA,NA,NA,0.285248612012363
UPF1,NA,NA,NA,NA,0.284484827986553
USP42,NA,NA,NA,NA,-0.333895091125011
WDR17,NA,0.46580258719023,NA,NA,NA
WDR27,NA,NA,NA,NA,0.314156517140258
ZFP30,NA,NA,NA,NA,-0.335404303580147
ZFP62,NA,NA,NA,NA,-0.296120959479918
ZFR,NA,NA,NA,NA,-0.341908376667263
ZFYVE1,NA,NA,NA,NA,0.257981342858822
ZMIZ2,NA,NA,NA,NA,0.273005012861123
ZNF10,NA,NA,NA,NA,0.379616841739567
ZNF266,NA,NA,NA,NA,-0.267004710272765
ZNF350,NA,NA,NA,NA,-0.469553199825958
ZNF37BP,0.408945641009571,0.297974171513545,0.267295076834694,NA,NA
ZNF416,NA,NA,NA,NA,0.402168110121432
ZNF419,NA,NA,NA,NA,0.480138173713179
ZNF608,NA,NA,NA,NA,0.26222192797958
ZNF618,-0.264152753516709,-0.259591909100774,NA,NA,NA
ZNF680,NA,NA,NA,NA,-0.280707808070069
ZNF75A,NA,NA,NA,NA,0.264605243832559
ZNF767P,NA,NA,NA,NA,0.322542842085926
ZNF777,NA,NA,NA,NA,0.330686949071221
ZNF780B,NA,NA,NA,NA,0.279712746465904
ZNF789,NA,NA,NA,NA,0.362580361527148
