,Padj_maxP_SH_BIO_1949634_10x_vs_SH_DMSO,dPSI_SH_BIO_1949634_10x_vs_SH_DMSO,Padj_maxP_SH_BIO_1949634_3x_vs_SH_DMSO,dPSI_SH_BIO_1949634_3x_vs_SH_DMSO,Padj_maxP_SH_BIO_2178782_10x_vs_SH_BIO_1949634_10x,dPSI_SH_BIO_2178782_10x_vs_SH_BIO_1949634_10x,Padj_maxP_SH_BIO_2178782_10x_vs_SH_DMSO,dPSI_SH_BIO_2178782_10x_vs_SH_DMSO,Padj_maxP_SH_BIO_2178782_3x_vs_SH_BIO_1949634_3x,dPSI_SH_BIO_2178782_3x_vs_SH_BIO_1949634_3x,Padj_maxP_SH_BIO_2178782_3x_vs_SH_DMSO,dPSI_SH_BIO_2178782_3x_vs_SH_DMSO,Padj_maxP_SH_BIO_2196772_10x_vs_SH_BIO_1949634_10x,dPSI_SH_BIO_2196772_10x_vs_SH_BIO_1949634_10x,Padj_maxP_SH_BIO_2196772_10x_vs_SH_DMSO,dPSI_SH_BIO_2196772_10x_vs_SH_DMSO,Padj_maxP_SH_BIO_2196772_3x_vs_SH_BIO_1949634_3x,dPSI_SH_BIO_2196772_3x_vs_SH_BIO_1949634_3x,Padj_maxP_SH_BIO_2196772_3x_vs_SH_DMSO,dPSI_SH_BIO_2196772_3x_vs_SH_DMSO,Padj_maxP_SH_BIO_2196895_10x_vs_SH_BIO_1949634_10x,dPSI_SH_BIO_2196895_10x_vs_SH_BIO_1949634_10x,Padj_maxP_SH_BIO_2196895_10x_vs_SH_DMSO,dPSI_SH_BIO_2196895_10x_vs_SH_DMSO,Padj_maxP_SH_BIO_2196895_3x_vs_SH_BIO_1949634_3x,dPSI_SH_BIO_2196895_3x_vs_SH_BIO_1949634_3x,Padj_maxP_SH_BIO_2196895_3x_vs_SH_DMSO,dPSI_SH_BIO_2196895_3x_vs_SH_DMSO,Padj_maxP_SH_BIO_2197306_10x_vs_SH_BIO_1949634_10x,dPSI_SH_BIO_2197306_10x_vs_SH_BIO_1949634_10x,Padj_maxP_SH_BIO_2197306_10x_vs_SH_DMSO,dPSI_SH_BIO_2197306_10x_vs_SH_DMSO,Padj_maxP_SH_BIO_2197306_3x_vs_SH_BIO_1949634_3x,dPSI_SH_BIO_2197306_3x_vs_SH_BIO_1949634_3x,Padj_maxP_SH_BIO_2197306_3x_vs_SH_DMSO,dPSI_SH_BIO_2197306_3x_vs_SH_DMSO,Padj_maxP_SH_BIO_2199562_10x_vs_SH_BIO_1949634_10x,dPSI_SH_BIO_2199562_10x_vs_SH_BIO_1949634_10x,Padj_maxP_SH_BIO_2199562_10x_vs_SH_DMSO,dPSI_SH_BIO_2199562_10x_vs_SH_DMSO,Padj_maxP_SH_BIO_2199562_3x_vs_SH_BIO_1949634_3x,dPSI_SH_BIO_2199562_3x_vs_SH_BIO_1949634_3x,Padj_maxP_SH_BIO_2199562_3x_vs_SH_DMSO,dPSI_SH_BIO_2199562_3x_vs_SH_DMSO,Padj_maxP_SH_BIO_2204984_10x_vs_SH_BIO_1949634_10x,dPSI_SH_BIO_2204984_10x_vs_SH_BIO_1949634_10x,Padj_maxP_SH_BIO_2204984_10x_vs_SH_DMSO,dPSI_SH_BIO_2204984_10x_vs_SH_DMSO,Padj_maxP_SH_BIO_2204984_3x_vs_SH_BIO_1949634_3x,dPSI_SH_BIO_2204984_3x_vs_SH_BIO_1949634_3x,Padj_maxP_SH_BIO_2204984_3x_vs_SH_DMSO,dPSI_SH_BIO_2204984_3x_vs_SH_DMSO,Padj_maxP_SH_BIO_2207180_10x_vs_SH_BIO_1949634_10x,dPSI_SH_BIO_2207180_10x_vs_SH_BIO_1949634_10x,Padj_maxP_SH_BIO_2207180_10x_vs_SH_DMSO,dPSI_SH_BIO_2207180_10x_vs_SH_DMSO,Padj_maxP_SH_BIO_2207180_3x_vs_SH_BIO_1949634_3x,dPSI_SH_BIO_2207180_3x_vs_SH_BIO_1949634_3x,Padj_maxP_SH_BIO_2207180_3x_vs_SH_DMSO,dPSI_SH_BIO_2207180_3x_vs_SH_DMSO
ABCD2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000803015608271965,0.349,0.000561593260630343,0.349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ABCG4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00225499127347812,0.336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ABHD1,NA,NA,NA,NA,0.000564774900929744,0.302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00210122966379883,0.602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ABHD2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.96579450416979e-06,0.677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.03729081826481e-06,-0.632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00148318443479852,0.517,NA,NA,NA,NA,NA,NA,NA,NA
ABI1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00362649679149044,-0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ABI2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000433982493833505,-0.326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ABI3BP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0243286986087141,-0.374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC004540.1,0.000169605952717729,0.307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.11526311473168e-05,-0.347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC005162.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.60114910785895e-05,0.673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC005165.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00450242802721066,-0.5,NA,NA,NA,NA,NA,NA,0.00635270884195792,-0.5,NA,NA,0.000386490585911354,0.455,NA,NA,NA,NA,NA,NA,0.00714969208066303,0.331,NA,NA,NA,NA,NA,NA,0.00508036258552861,-0.362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00691205188422545,-0.5
AC005476.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00781695316302004,-0.315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC006001.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0050876445889353,-0.418,NA,NA
AC006148.1,0.00241660752822223,0.566,0.00978772059399399,0.458,NA,NA,6.13822272489326e-08,0.375,NA,NA,NA,NA,NA,NA,4.08971386917378e-08,0.542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00145779395247422,0.385,0.012994862433626,-0.458,NA,NA,0.0189572143898647,-0.407,NA,NA,0.0086928829952155,-0.458,0.000709460787172407,0.341,0.0417665283750536,0.3,7.77083947650656e-07,0.415,0.0451833106214091,-0.578,0.000782597187642931,0.419,NA,NA,NA,NA,0.0120376953440076,-0.458,0.000110485559178431,0.688
AC006460.2,0.0440005467530816,-0.318,NA,NA,3.99992035160829e-06,0.719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0282972712766401,0.306,NA,NA,0.0153751593296637,0.346,NA,NA,NA,NA,NA,NA,0.0215188518727177,0.365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000109498111087358,0.535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC007285.1,NA,NA,0.000503507531790259,-0.487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0322138566133732,-0.35,NA,NA,NA,NA,NA,NA,NA,NA,7.52064464806128e-07,-0.588,2.64002492568031e-06,-0.618,0.0240119158920804,0.381,NA,NA,NA,NA,NA,NA,0.00435583072532722,0.365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0196503956492542,-0.481
AC007405.2,NA,NA,9.67114328560196e-05,0.508,NA,NA,0.00526182482949828,-0.348,NA,NA,NA,NA,NA,NA,0.00460998836100335,-0.366,NA,NA,0.013487291408144,-0.42,NA,NA,0.00828304109114865,-0.341,NA,NA,0.00224957802626267,0.435,NA,NA,0.000277327400111746,0.575,NA,NA,NA,NA,NA,NA,0.00292300824549434,-0.461,NA,NA,0.00331249961832138,-0.461,NA,NA,0.0034696110112132,-0.461,NA,NA,0.00480791918023345,-0.461,NA,NA,NA,NA,NA,NA,NA,NA
AC007614.1,NA,NA,NA,NA,0.00108600717203206,-0.444,NA,NA,0.00118131446639727,-0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0160088468900002,0.483,NA,NA,NA,NA,NA,NA,0.00116403066912893,-0.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.027016975233589,-0.418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC008555.2,NA,NA,NA,NA,0.00100220763079033,-0.372,NA,NA,0.0292883290156271,0.459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC008840.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000430004211358117,0.576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.032022435354267,0.312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC009022.1,5.16481822562381e-06,0.379484889152909,NA,NA,NA,NA,0.0492548400048894,0.765878924344647,0.00146672831258961,0.325567503294923,0.000723490314949604,0.505567090294129,0.000889108909779042,0.25859606762071,3.96754300023982e-07,0.638574057777427,0.0011130927410052,0.279655843738631,6.08910738316896e-07,0.387451933766836,NA,NA,0.000180126731558368,0.424229732151945,NA,NA,NA,NA,NA,NA,1.76824568750636e-06,0.520925342026705,NA,NA,0.00324879517473681,0.275015094615671,NA,NA,3.52713062894114e-07,0.5099521665424,0.000130693359168569,0.435154486624917,0.00016508483046421,0.640089315164477,NA,NA,1.51238912307435e-06,0.479629291247265,NA,NA,0.00260101141482378,0.276308894620449,NA,NA,NA,NA,NA,NA,NA,NA
AC009053.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.47639410879973e-05,-0.324,2.39597498463514e-05,-0.386,NA,NA,NA,NA,NA,NA,NA,NA
AC009061.2,NA,NA,NA,NA,NA,NA,0.0174432298941519,0.319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC009275.1,0.0022969759166816,-0.437,0.00161228244780924,0.332,NA,NA,0.0165226708177104,0.448,NA,NA,0.0216431904597672,0.423,NA,NA,0.000816311252314349,0.564,0.0122261041153947,-0.468,NA,NA,NA,NA,0.0157050189311832,0.453,NA,NA,0.0146553544029302,0.474,NA,NA,0.00796212714197362,0.46,0.000348765274744874,-0.581,NA,NA,NA,NA,0.0196344058573805,0.402,NA,NA,0.00825169372729948,0.451,NA,NA,NA,NA,NA,NA,0.000158863120095287,0.459,0.0363503904332635,0.462,NA,NA,0.0102329424536516,-0.461,NA,NA
AC009498.1,NA,NA,NA,NA,NA,NA,0.0195394204128497,-0.31,NA,NA,NA,NA,NA,NA,7.05304123923173e-08,-0.621,NA,NA,0.000521159448641883,-0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0127663348133851,-0.404,4.07287385039152e-05,-0.451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC009533.1,NA,NA,NA,NA,0.983,-0.5433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC010203.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0205153197665527,-0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0135318709295264,-0.316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC010273.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000806772102815353,-0.474,0.0198036075016871,-0.369,NA,NA,NA,NA,NA,NA,0.0339476583138522,-0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC011317.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0316517217735462,-0.346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC012313.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.09559055334967e-06,-0.707,1.93926761484546e-05,-0.541,NA,NA,NA,NA,NA,NA,NA,NA,7.48958546496629e-06,-0.595,2.89200176693855e-05,-0.558,NA,NA,NA,NA,NA,NA,NA,NA
AC012618.3,NA,NA,NA,NA,NA,NA,0,0.711,NA,NA,0.000314745487758756,0.514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC015813.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0407889576957592,0.818829749168784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC016582.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00292881822862594,-0.403,NA,NA,NA,NA
AC016629.3,0.9642,0.3958,0.9994,0.4636,NA,NA,0.9073,0.3801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5268,NA,NA,0.947,0.3953,NA,NA,0.9723,0.4025,NA,NA,0.9979,0.4391,NA,NA,0.9868,0.4473,NA,NA,1,0.5114,NA,NA,NA,NA,NA,NA,0.9892,0.4487,NA,NA,NA,NA,NA,NA,0.9996,0.4881
AC016727.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0112327891125299,0.323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC018558.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.16177405860293e-05,0.542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
