"X"	"overal_dPSI"	"dPSI_iPSC_2197294_3x"	"dPSI_NGN2_2197294_3x"	"dPSI_Sy5Y_2197294_3x"	"UniqueID"	"coordinate_CE_hg38"	"Splicing_outcome"	"Tier"	"Involve.multipe.exons."	"Sy5Y"	"iPSC_PTC518_3x_logFC"	"iPSC_PTC518_3x_Adj.P.Value"	"iPSC_3vs3_log2FC"	"iPSC_3vs3_padj"	"NGN2_PTC518_3x_logFC"	"NGN2_PTC518_3x_Adj.P.Value"	"NGN2_3vs3_log2FC"	"NGN2_3vs3_padj"	"Sy5Y_PTC518_3x_logFC"	"Sy5Y_PTC518_3x_Adj.P.Value"	"Sy5Y_3vs3_log2FC"	"Sy5Y_3vs3_padj"	"iPSC_2197294_3x_2"	"iPSC_2197294_3x_3"	"iPSC_2197294_3x_4"	"iPSC_DMSO_2"	"iPSC_DMSO_3"	"iPSC_DMSO_4"	"NGN2_2197294_3x_1"	"NGN2_2197294_3x_2"	"NGN2_2197294_3x_3"	"NGN2_DMSO_1"	"NGN2_DMSO_2"	"NGN2_DMSO_3"	"Sy5Y_2197294_3x_2"	"Sy5Y_2197294_3x_3"	"Sy5Y_2197294_3x_4"	"Sy5Y_DMSO_2"	"Sy5Y_DMSO_3"	"Sy5Y_DMSO_4"
"SKP1"	0.313050013	-0.445580856	-0.493569184	NA	"ENSG00000113558.19"	"chr5:134,175,284-134,175,385"	"No change in RNA level, splicing change occurs in 5'UTR"	4	"N"	NA	6.28075984886365e-06	1	"0.00176823095815179"	"1"	-2.51344300799982e-05	1	"-0.0905985147171367"	"1"	-3.91285228143681e-06	1	"-0.00982229666229519"	"1"	18454	16852	19206	21586	17454	18935	27483	28117	27836	31219	28301	25658	18298	17633	18742	20537	21951	20923
"PPIP5K1"	0.302494315	NA	0.907482944	NA	"ENSG00000168781.22"	"chr15:43,589,020-43,589,126"	"No change in RNA level, splicing change occurs in 5'UTR"	4	"N"	NA	-1.68950509891533e-05	1	"-0.123912909198292"	"0.964681360388505"	-2.74032005723929e-05	1	"-0.276428704428502"	"0.0868704624413627"	-1.23994339239322e-05	1	"-0.166506221436872"	"1"	1444	1193	1316	1594	1419	1562	2998	3074	3071	3848	3469	3288	2888	2234	2172	2969	3149	3286
"LINC02210"	0.291035374	NA	0.525156166	0.347949955	"ENSG00000204650.14"	"chr17:45,630,246-45,630,318"	"Splicing changes occurs - noncoding RNA"	5	"Y"	NA	-1.21244900454898e-05	1	"-0.17438650452973"	"0.964681360388505"	-2.81583241655224e-05	1	"-0.424305364862855"	"0.13921527610403"	-2.19420590245162e-05	1	"-0.3564739405945"	"1"	1766	1804	1573	1997	2143	2061	2283	2330	2487	3382	2989	2763	2579	2594	1906	3380	3809	3280
"ABCB8"	0.276111922	0.372335765	-0.456	NA	"ENSG00000197150.12"	"chr7:151031241-151031291"	"No change in RNA level, splicing change occurs in protein coding sequence, isoform switch"	3	"N"	NA	-3.55298455152509e-06	1	"-0.0850759906891996"	"0.964681360388505"	-2.56097623346203e-06	1	"-0.028072388876539"	"1"	9.09969001450674e-07	1	"0.0168831708598421"	"1"	1143	950	1031	1236	1175	1108	1892	2145	1979	2115	1909	1845	2584	2507	2124	2586	2988	2652
"PHOX2B-AS1"	0.262730452	NA	0.480473554	0.307717801	"ENSG00000250467.1"	"chr4:41,749,200-41,749,342"	"Splicing changes occurs - noncoding RNA"	5	"N"	NA	-2.40112352427256e-07	1	"0"	"1"	3.45785413153558e-06	1	"0.0745999756785238"	"1"	9.57231634396901e-06	1	"0.346432727927008"	"1"	0	0	0	0	0	0	71	80	69	55	78	65	84	64	133	88	69	96
"VDAC3"	0.244951469	NA	0.443738855	-0.291115553	"ENSG00000078668.14"	""	""	NA	""	NA	1.00871302838042e-05	1	"0.0549938793382133"	"0.964681360388505"	-2.74954640837162e-06	1	"0.0518762912511677"	"1"	8.94074817605516e-06	1	"0.0788366420671866"	"1"	9466	9791	10669	10737	9869	10104	14263	15038	14712	14973	13459	12273	9180	9903	9302	9720	11421	9899
"AL391807.1"	0.229333333	NA	NA	-0.688	"ENSG00000230910.4"	""	"Poorly annotated RNA - https://www.ncbi.nlm.nih.gov/nuccore/AL391807.1"	NA	""	NA	-1.71208214686267e-06	1	"-0.401034806266578"	"0.970654271203967"	8.82459204016959e-07	1	"0.0193529991759915"	"1"	1.20046430775104e-06	1	"0.0557426288714102"	"1"	3	1	1	3	2	2	803	910	870	897	748	793	136	57	80	85	61	153
"MADD"	0.228748398	-0.342	NA	0.344245195	"ENSG00000110514.19"	"chr11:47292543-47292596"	"No change in RNA level, splicing change occurs in protein coding sequence, isoform switch"	3	"N"	NA	-1.38995028890379e-05	1	"-0.0595840966193946"	"0.964681360388505"	7.15922276297515e-06	1	"0.0363423170609864"	"1"	-6.70299948947386e-06	1	"-0.0325337752417767"	"1"	3762	2971	3843	3826	3856	3967	17322	18523	18358	18783	16234	15639	7491	5977	6886	7848	7675	8381
"KDM6A"	0.226756671	0.404400664	NA	0.275869349	"ENSG00000147050.15"	"chrX:45106542-45106649"	"No change in RNA level, splicing change occurs in protein coding sequence, isoform switch"	3	"N"	NA	-1.24439417890011e-05	1	"-0.345858652986039"	"0.648320782277494"	-5.67308620231374e-06	1	"-0.155288611842693"	"1"	-5.36259349051152e-06	1	"-0.153140523714754"	"1"	6727	4213	5030	8131	6223	7124	1768	1887	2088	2240	2003	1879	3690	2627	3085	4221	3725	4033
"ZFP82"	0.211105844	0.278279552	0.355037981	NA	"ENSG00000181007.9"	"chr19:36,400,285-36,400,403"	"No change in RNA level, splicing change occurs in protein coding sequence, isoform switch"	2	"N"	NA	2.05069447450454e-05	1	"0.111171080528224"	"0.964681360388505"	2.20494963373977e-05	1	"0.0682778514484952"	"1"	1.06500338495961e-05	1	"0.077331498622989"	"1"	2203	2059	2464	2210	2205	2192	2754	2886	3110	2977	2505	2513	3065	2580	3242	3245	3408	3023
"AL589743.1"	0.198557803	NA	NA	0.59567341	"ENSG00000244306.11"	""	"Poorly annotated RNA - https://www.ncbi.nlm.nih.gov/nuccore/AL589743.1"	NA	""	NA	-7.62257384088708e-07	1	"-1.76873956139566"	"0.964681360388505"	-5.59501153634738e-07	1	"-0.0652391415330074"	"1"	1.34736352261782e-05	1	"0.238158277979482"	"1"	0	0	0	0	2	0	0	1	0	0	1	0	12718	7905	11181	10263	8721	11826
"EVC"	0.196653406	NA	0.589960219	NA	"ENSG00000072840.13"	"chr4:5,741,334-5,741,441"	"Downregulation in RNA level, Nonsense-mediated decay"	1	"N"	NA	-1.70997297919867e-05	1	"-0.1805026346734"	"0.964681360388505"	1.05204021371137e-06	1	"0.00478560503233779"	"1"	-4.72789526179837e-06	1	"-0.0528711775644797"	"1"	1256	766	1074	1317	1202	1177	387	451	425	451	368	387	1207	921	1158	1251	1299	1361
"AC136604.3"	0.19555556	NA	0.586666679	NA	"ENSG00000250999.2"	"chr5:179,664,323-179,664,417"	""	NA	""	NA	2.45405008699133e-06	1	NA	NA	4.3823241891454e-06	1	NA	NA	-7.92126966943286e-08	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"KLHL1"	0.172428235	NA	0.517284704	NA	"ENSG00000150361.12"	"chr13:70,106,604-70,106,747"	"No change in RNA level, splicing change occurs in protein coding sequence, isoform switch"	2	"N"	NA	-3.59846439117371e-07	1	"-0.872958855930325"	"0.96634884133813"	-7.98560079932672e-06	1	"-0.0575171266767963"	"1"	-4.37375174240035e-07	1	"0"	"1"	0	0	0	0	1	0	1898	1966	1895	2055	1881	1800	0	0	0	0	0	0
"CEP57"	0.169222158	NA	-0.507666474	NA	"ENSG00000166037.11"	"chr11:95,794,221-95,794,359"	""	NA	""	NA	-4.30259508390552e-06	1	"-0.0644384494893263"	"0.964681360388505"	1.37823562233544e-06	1	"-0.00160232749995948"	"1"	1.04846267362991e-06	1	"-0.00348656334110751"	"1"	6271	5400	6127	7098	6202	6478	4072	4003	4622	4482	3960	3736	4339	3624	4178	4702	4590	4692
"MANBA"	0.162333333	NA	-0.487	NA	"ENSG00000109323.11"	""	""	NA	""	NA	2.1720316260027e-06	1	"0.0409234516969446"	"0.976353784944646"	-6.92585877955696e-06	1	"-0.0549866914076011"	"1"	-5.19964626851498e-06	1	"-0.0380095841793224"	"1"	2773	2823	2871	2999	2944	2834	1233	1230	1395	1425	1156	1255	837	635	562	877	750	771
"OSBPL6"	0.150506413	0.451519238	NA	NA	"ENSG00000079156.17"	""	""	NA	""	NA	-1.20675492349622e-05	1	"-0.0952332194519125"	"0.964681360388505"	3.32157115986514e-06	1	"-0.0185742719514219"	"1"	1.31497737347958e-05	1	"0.071192172447233"	"1"	431	348	518	511	430	524	5155	4760	6044	5621	4971	4873	1365	1169	1271	1421	1444	1299
"VPS29"	0.149784037	0.449352112	NA	NA	"ENSG00000111237.19"	"chr12:110499535-110499546"	"No change in RNA level, splicing change occurs in protein coding sequence, isoform switch"	3	"N"	NA	1.79681794595993e-06	1	"-0.0207057802780443"	"0.985814798252137"	6.07946089008121e-06	1	"-0.00317380975946833"	"1"	1.45601471936823e-08	1	"-0.0221511496162649"	"1"	2504	2174	2328	2834	2287	2448	5030	5188	5071	5515	4865	4334	2517	2122	2098	2672	2708	2487
"MELTF"	0.148915558	NA	NA	0.446746673	"ENSG00000163975.12"	"chr3:197,019,625-197,019,801"	"No change in RNA level, splicing change occurs in protein coding sequence, isoform switch"	3	"N"	NA	2.37555969945457e-06	1	"0.224052036985334"	"0.964681360388505"	-4.04320250550754e-08	1	"0.00229375567398185"	"1"	3.09037877462413e-06	1	"0.0655922831104401"	"1"	90	106	113	82	106	93	431	441	432	453	400	394	518	527	547	499	609	646
"DENND1A"	0.147636472	NA	0.442909415	NA	"ENSG00000119522.16"	"chr9:123,454,003-123,454,051"	"Downregulation in RNA level, Nonsense-mediated decay"	2	"Y"	NA	-5.12884327483983e-06	1	"-0.100634377859614"	"0.964681360388505"	-1.74570241078937e-05	1	"-0.297378739814253"	"0.90575269803113"	-1.72073733775714e-06	1	"-0.0175295441873194"	"1"	2943	3398	3301	3217	3935	3873	3551	3581	3659	4730	4140	3851	3841	4287	3800	4444	5328	4185
"WDR17"	0.143	NA	-0.429	NA	"ENSG00000150627.15"	"chr4:176096463-176096585"	"No change in RNA level, splicing change occurs in protein coding sequence, isoform switch"	3	"N"	NA	-7.29809781739159e-06	1	"-0.137056830724227"	"0.964681360388505"	3.55521542848147e-06	1	"0.00911907546079408"	"1"	4.37830288083904e-06	1	"0.0536126526748091"	"1"	462	271	373	463	376	444	1736	1618	1862	1942	1571	1473	1700	1141	1366	1563	1355	1723
"ERGIC3"	0.133	NA	NA	-0.399	"ENSG00000125991.19"	"chr20:35554372-35554386"	"No change in RNA level, splicing change occurs in protein coding sequence, isoform switch"	3	"N"	NA	2.80065014038103e-06	1	"0.0761328601680755"	"0.964681360388505"	1.81580125464257e-06	1	"0.094045301352461"	"1"	3.02220308614217e-06	1	"0.0760739041997498"	"1"	6353	7092	6837	6922	7053	6591	8300	8726	8502	8507	7454	6975	9499	11824	10253	10646	13186	10862
"XPO1"	0.131	0.393	NA	NA	"ENSG00000082898.17"	""	""	NA	""	NA	-8.45519988853963e-06	1	"-0.0421544710430947"	"0.964681360388505"	-3.9616858155573e-05	1	"-0.0988228946391198"	"1"	1.36954035514228e-05	1	"0.0262194342375373"	"1"	60346	48552	60459	66011	55669	63169	15276	15012	15789	17785	15651	13950	38587	32685	36382	40513	41150	39840
"DGKZ"	0.128	0.384	NA	NA	"ENSG00000149091.15"	""	""	NA	""	NA	4.93994255562855e-07	1	"0.0410396860012093"	"0.964681360388505"	2.78474563365226e-08	1	"0.0311408449563653"	"1"	2.5979580773343e-06	1	"0.050817649082924"	"1"	7225	6681	7571	7373	7383	7413	4074	4447	4083	4317	3763	3732	4535	4698	4537	4926	5553	4859
"DPF2"	0.126333333	0.379	NA	NA	"ENSG00000133884.10"	""	""	NA	""	NA	9.87935287369474e-06	1	"0.047436903134062"	"0.964681360388505"	3.68883886374035e-05	1	"0.0695409098938507"	"1"	1.42909959653729e-05	1	"0.0609076625812266"	"1"	6942	6743	7586	7419	7262	7205	6452	7198	7239	7010	6302	5758	4927	4849	4707	5414	5620	4970
"TRIM65"	0.125666667	NA	-0.377	NA	"ENSG00000141569.12"	"chr17:75891813-75891878"	"No change in RNA level, splicing change occurs in protein coding sequence, isoform switch"	3	"N"	NA	-5.46432688358986e-06	1	"-0.0217462067755399"	"0.981343042647234"	-1.22853771070139e-05	1	"-0.0968735209679476"	"1"	3.12830623606005e-06	1	"0.00825143189688487"	"1"	4902	3870	4642	5072	4772	4582	488	550	488	623	492	455	2749	2200	2285	2775	2641	2847
"ASCC3"	0.124260557	NA	0.372781671	NA	"ENSG00000112249.14"	""	""	NA	""	NA	5.47016316739102e-06	1	"-0.0257901139629231"	"0.976031917248468"	-5.1757630692069e-06	1	"-0.0906634229253549"	"1"	8.64482884585894e-07	1	"0.00832655098456268"	"1"	16145	12651	15334	17143	14939	15537	3766	3937	4457	4448	3961	3965	8984	7913	8534	10164	10135	8780
"GGA2"	0.121666667	0.365	NA	NA	"ENSG00000103365.15"	""	""	NA	""	NA	-1.41007161005858e-05	1	"-0.0288532836213767"	"0.96634884133813"	-2.29583415511236e-05	1	"-0.0454157724400232"	"1"	2.54541024208196e-05	1	"0.0746453164005102"	"1"	9845	8774	10907	10806	10276	10849	2109	2179	2260	2446	2044	1993	8656	7299	8558	8445	8672	9632
"WDR27"	0.121295537	NA	NA	0.363886612	"ENSG00000184465.16"	"chr6:169,661,703-169,661,750"	"Downregulation in RNA level, Nonsense-mediated decay"	1	"N"	NA	-4.87014733995212e-06	1	"-0.434810017874103"	"0.964681360388505"	-5.9768137658612e-07	1	"-0.0142299638870588"	"1"	4.69498601846351e-07	1	"0.0145763971959545"	"1"	933	300	484	1018	676	733	1526	1628	1792	1779	1553	1454	2092	1011	1247	1530	1340	2034
"KCNT2"	NA	NA	NA	NA	"ENSG00000162687.18"	"chr1:196,317,148-196,317,269"	"Downregulation in RNA level, Nonsense-mediated decay"	1	""	NA	-8.28863158503725e-06	1	"-0.979552981693021"	"0.00769999693684281"	-2.00587698936934e-05	2.51443714314699e-07	"-2.30143071257404"	"0.0000000000000000000000850604202025292"	-1.51445427874165e-05	0.0993108090967968	"-1.81145143887973"	"0.000000000000257378912900175"	415	198	288	701	532	635	224	206	265	1186	1094	999	736	410	360	2114	1913	2012
"KCNT2"	0.121	NA	NA	-0.363	"ENSG00000162687.18"	"chr1:196,317,148-196,317,269"	"Downregulation in RNA level, Nonsense-mediated decay"	1	"Y"	NA	-8.28863158503725e-06	1	"-0.979552981693021"	"0.00769999693684281"	-2.00587698936934e-05	2.51443714314699e-07	"-2.30143071257404"	"0.0000000000000000000000850604202025292"	-1.51445427874165e-05	0.0993108090967968	"-1.81145143887973"	"0.000000000000257378912900175"	415	198	288	701	532	635	224	206	265	1186	1094	999	736	410	360	2114	1913	2012
"CLASP2"	0.119748193	NA	-0.359244578	NA	"ENSG00000163539.17"	"chr3:33566732-33566734"	"No change in RNA level, splicing change occurs in protein coding sequence, isoform switch"	3	"N"	NA	-1.52669983821971e-05	1	"-0.0581673676830975"	"0.964681360388505"	-4.51336276505841e-05	1	"-0.0803943272980988"	"1"	-1.92903208573485e-05	1	"-0.0187340393770033"	"1"	6958	5486	6443	7505	6646	6704	72342	72289	74012	82951	72544	66396	13583	11705	12073	14135	15068	14332
"ZFAND4"	0.118	0.354	NA	NA	"ENSG00000172671.20"	""	""	NA	""	NA	-1.85766584770118e-05	1	"-0.0858548116112868"	"0.964681360388505"	7.63820770022133e-06	1	"-0.0387166519451779"	"1"	3.76336349514684e-06	1	"0.0460302129475787"	"1"	775	681	855	887	837	876	1197	1283	1146	1376	1164	1041	824	724	880	904	896	904
"RASSF8-AS1"	0.117333333	0.352	NA	NA	"ENSG00000246695.8"	""	""	NA	""	NA	-1.01930840443805e-05	1	"-0.0923674519485862"	"0.964681360388505"	-4.60171595582436e-06	1	"-0.00912912238532555"	"1"	1.06886363107694e-06	1	"0.0246543322143868"	"1"	298	220	295	329	295	293	1196	1223	1402	1391	1113	1180	1368	956	1154	1385	1140	1392
"AXIN1"	0.116333333	NA	-0.349	NA	"ENSG00000103126.15"	"chr16:291,190-291,297"	"No change in RNA level, splicing change occurs in protein coding sequence, isoform switch"	3	"N"	NA	6.11439380723701e-07	1	"0.0199560813631008"	"0.971498814457937"	6.05237121070445e-06	1	"0.0963274600265138"	"1"	5.64210980415637e-06	1	"0.0934996847057374"	"1"	4829	3996	4985	4904	4656	4865	1392	1556	1517	1461	1268	1271	2997	2541	2717	2902	2923	3071
"LINC00963"	0.113666667	NA	-0.341	NA	"ENSG00000204054.14"	""	""	NA	""	NA	6.53703904164034e-06	1	"0.233987421257705"	"0.964681360388505"	1.63990944870639e-05	1	"0.113442702837133"	"1"	7.24229701701932e-07	1	"0.0217958065303287"	"1"	53	21	28	49	15	28	1489	1519	1437	1535	1240	1178	1913	1742	2140	1986	2203	2377
"STXBP5L"	0.113527878	NA	0.340583633	NA	"ENSG00000145087.12"	"chr3:121282266-121282337"	"No change in RNA level, splicing change occurs in protein coding sequence, isoform switch"	3	"N"	NA	-2.03723297343242e-06	1	"-0.117197828906343"	"0.964681360388505"	-2.27652796603396e-05	1	"-0.359818695950153"	"0.161635982685331"	-1.55400907258354e-05	1	"-0.173008411442718"	"1"	670	790	853	780	893	997	1665	1631	1750	2273	2110	1827	1997	1709	2083	2439	2558	2503
"KIAA1549L"	0.112666667	-0.338	NA	NA	"ENSG00000110427.16"	""	""	NA	""	NA	-1.61901477413761e-05	1	"-0.164911259292305"	"0.964681360388505"	-1.09789052368567e-07	1	"-0.0421527169918397"	"1"	8.35591235539641e-06	1	"0.0565193182648336"	"1"	512	384	579	533	647	560	10036	10201	10995	11341	9752	9699	2563	2168	2917	2665	2803	2978
"LRP8"	0.112666667	NA	-0.338	NA	"ENSG00000157193.18"	""	""	NA	""	NA	-2.17000276715787e-05	1	"-0.22763661570357"	"0.964681360388505"	-2.39830223030548e-06	1	"-0.0643396368238265"	"1"	-9.58335010243952e-06	1	"-0.0726180548015368"	"1"	5422	3946	5650	6077	5637	6819	7668	8026	7994	8800	7640	7303	5285	3297	4248	5037	4617	5772
"AC138894.1"	0.111	NA	-0.333	NA	"ENSG00000261832.6"	""	""	NA	""	NA	1.82197799433881e-06	1	"0.459601978157314"	"0.964681360388505"	4.01868865202797e-07	1	"0.0972322673496959"	"1"	1.2374056433607e-06	1	"0.617505895112306"	"1"	114	55	145	75	30	133	234	362	252	247	300	209	26	397	145	43	202	199
"ASAP2"	0.107666667	NA	NA	-0.323	"ENSG00000151693.11"	""	""	NA	""	NA	-2.21366225222381e-05	1	"-0.163338621759592"	"0.964681360388505"	-1.31699875932345e-05	1	"-0.129805624288073"	"1"	-3.68473149451112e-05	1	"-0.216417154730108"	"1"	1852	1823	2075	1962	2510	2350	4047	4106	4235	4900	4246	3868	10643	8535	9566	12948	12475	12924
"DRG2"	0.107666667	0.323	NA	NA	"ENSG00000108591.10"	""	""	NA	""	NA	1.30415391313526e-06	1	"0.0840222617591422"	"0.964681360388505"	1.05600584599315e-06	1	"0.106526940824859"	"1"	2.24863372631945e-06	1	"0.0787202582534054"	"1"	2399	2421	2701	2457	2548	2538	804	878	835	856	739	651	2064	1787	1842	1914	2183	2105
"MAOA"	0.105333333	NA	NA	-0.316	"ENSG00000189221.9"	""	""	NA	""	NA	-0.506125467144053	1	"-0.558644731014668"	"0.875468877465834"	-1.30702034744516e-05	1	"-0.148763983802998"	"1"	-2.38102405729963e-05	1	"-0.365895845993973"	"1"	217	321	248	335	473	434	239	236	213	239	262	227	1114	1475	1295	1794	2201	1806
"DLGAP4"	0.104	NA	-0.312	NA	"ENSG00000080845.17"	"chr20:36,499,242-36,499,321"	"Downregulation in RNA level, Nonsense-mediated decay"	1	"Y"	NA	-1.31760306053822e-05	1	"-0.115605657258867"	"0.964681360388505"	-7.99170930227421e-06	1	"-0.112506194543137"	"1"	-3.01157683620077e-05	1	"-0.298580994778411"	"0.10811790104459"	5337	4887	5302	5832	6022	6016	15237	16162	15639	18178	15543	15042	7255	6646	5711	9331	9798	8665
"DHFR"	0.103410001	NA	0.310230003	NA	"ENSG00000228716.7"	"chr5:80,632,232-80,632,302"	"Downregulation in RNA level, Nonsense-mediated decay"	1	""	NA	-0.365290658446857	1	"-0.458054625138536"	"0.0158501387220127"	-0.626764002419824	0.0130064928696669	"-0.680066490879574"	"0.00000038134776745635"	-4.37874176787378e-05	1	"-0.505338202080871"	"0.0022430732086218"	17776	14963	13653	25280	20865	21915	1702	1723	1871	2999	2756	2383	22146	23415	19563	36210	37311	33260
"ZNF37BP"	0.102399778	NA	NA	0.307199333	"ENSG00000234420.7"	""	""	NA	""	NA	-5.6335787026119e-06	1	"-0.412393020949766"	"0.964681360388505"	-1.04672569557056e-06	1	"-0.216520592487386"	"1"	-1.82090386073038e-06	1	"-0.192666944587577"	"1"	1297	553	984	1443	1135	1364	1102	1009	1141	1384	1067	1174	4627	1835	3208	4167	3033	5338
"RAF1"	0.102333333	NA	-0.307	NA	"ENSG00000132155.12"	"chr3:12603478-12603537"	"No change in RNA level, splicing change occurs in protein coding sequence, isoform switch"	3	""	NA	5.40327408261673e-06	1	"0.00578516714433698"	"1"	-1.02106752562555e-07	1	"0.0235669995798814"	"1"	1.72333622440352e-05	1	"0.0605708973284711"	"1"	11098	9506	12035	11704	10838	11896	9307	10018	10001	10233	8935	8482	10522	8709	9349	10074	10422	11001
