,U1-mut1-100-CHX_vs_DMSO,U1-mut1-100-CHX_vs_DMSO-CHX,U1-mut1-100-CHX_vs_mut1-100,U1-mut1-100-EtOH_vs_DMSO,U1-mut1-100-CHX_vs_WT_EtOH,U1-mut1-100-CHX_vs_WT_CHX,U1-mut1-100-EtOH_vs_WT_EtOH,U1-mut1-500-CHX_vs_DMSO,U1-mut1-500-CHX_vs_DMSO-CHX,U1-mut1-500-CHX_vs_mut1-500,U1-mut1-500-EtOH_vs_DMSO,U1-mut1-500-CHX_vs_WT_EtOH,U1-mut1-500-CHX_vs_WT_CHX,U1-mut1-500-EtOH_vs_WT_EtOH
NKAIN1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
ZCCHC17,1,0,1,0,1,0,0,1,0,0,0,1,0,0
SERINC2,0,0,0,0,1,0,0,1,0,0,0,1,0,0
COL16A1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AL049795.2,0,0,0,0,0,0,0,1,1,0,1,1,0,0
TXLNA,1,0,0,0,0,0,0,1,0,0,0,1,0,0
CCDC28B,0,0,1,0,1,0,0,0,0,0,0,0,0,0
IQCC,1,0,1,0,1,0,0,1,0,1,0,1,0,0
MARCKSL1,1,0,1,0,1,0,0,0,0,1,0,1,0,0
FAM229A,0,0,0,0,0,0,0,0,0,0,1,0,0,1
BSDC1,1,0,1,0,1,0,0,1,0,0,0,1,0,0
S100PBP,0,0,1,0,0,0,0,0,0,0,0,0,0,0
TMEM54,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AL662907.1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ZSCAN20,1,0,1,0,1,0,0,1,0,1,0,1,0,0
DLGAP3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AC114490.2,0,0,1,0,1,0,0,1,0,0,0,1,0,0
ZMYM6,1,0,0,0,1,0,0,0,0,0,0,0,0,0
AC004865.2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
AGO4,0,0,1,0,1,0,0,0,0,1,0,0,0,0
AGO1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
ADPRS,1,0,1,0,1,0,0,1,0,1,0,1,0,0
OSCP1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
ZC3H12A,0,0,1,0,1,0,0,0,0,1,0,0,1,0
SNIP1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
C1orf109,1,0,0,0,0,0,0,1,0,0,0,0,0,0
YRDC,1,0,0,0,0,0,0,1,0,1,0,1,0,0
MTF1,1,0,1,0,1,0,0,1,0,0,0,1,0,0
HSPA5P1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AL139260.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PPIEL,1,0,1,0,1,0,0,1,0,0,1,1,0,1
HPCAL4,1,0,1,0,1,0,0,1,0,1,0,1,0,0
BMP8B,0,0,0,0,0,0,0,1,0,0,0,0,0,0
OXCT2,0,0,1,0,1,0,0,0,0,1,0,0,0,0
TRIT1,1,0,1,0,1,0,0,1,0,1,0,1,0,0
MYCL,1,0,1,0,1,0,0,1,0,1,0,1,0,0
MFSD2A,1,0,0,0,0,0,0,1,0,0,0,0,0,0
RLF,1,0,1,0,1,0,0,1,0,1,0,1,0,0
AL603839.4,0,0,1,0,1,0,0,0,0,0,0,0,0,0
EXO5,1,0,1,0,1,0,0,1,0,0,0,1,0,0
ZNF684,1,0,1,0,1,0,0,1,0,1,0,1,0,0
RIMS3,1,0,1,0,1,0,0,1,0,1,0,1,0,0
KCNQ4,1,0,1,0,1,0,0,1,0,1,0,1,0,0
HIVEP3,1,0,1,0,1,0,0,0,0,0,0,0,0,0
RIMKLA,1,0,1,0,1,0,0,1,0,1,0,0,0,0
PPCS,1,0,1,0,1,0,0,1,0,1,0,1,0,0
CCDC30,1,0,1,0,1,0,0,1,0,1,0,1,0,0
AC098484.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AC098484.2,1,0,1,0,0,0,0,1,0,1,0,1,0,0
YBX1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
C1orf50,1,0,1,0,1,0,0,1,0,1,0,1,0,0
AC098484.3,1,0,1,0,1,0,0,1,0,1,0,1,0,0
TMEM269,1,0,1,0,1,0,0,1,0,1,0,1,0,0
ZNF691,1,0,1,0,1,0,0,1,0,1,0,1,0,0
PTPRF,1,0,1,0,1,0,0,1,0,1,0,1,0,0
ST3GAL3,0,0,1,0,0,0,0,0,0,1,1,0,0,0
AL357079.1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
SLC6A9,1,0,0,0,0,0,0,1,0,0,0,0,0,0
AL139220.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
RPS8,0,0,1,0,1,0,0,0,0,0,0,0,0,0
PLK3,1,0,1,0,1,0,0,1,0,1,1,1,0,0
PTCH2,1,0,1,0,1,0,0,1,0,0,1,1,0,0
LINC01144,1,0,1,0,0,0,0,0,0,1,0,0,0,0
MUTYH,1,0,1,0,1,0,0,0,0,1,0,1,0,0
TOE1,1,0,1,0,1,0,0,1,0,1,0,1,0,0
CCDC163,0,0,0,0,0,0,0,1,0,0,0,1,0,0
PRDX1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
AL604028.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MAST2,1,0,1,0,1,0,0,1,0,1,0,1,0,0
POMGNT1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
UQCRH,1,0,1,0,1,0,0,0,0,0,0,0,0,0
NSUN4,1,0,1,0,1,0,0,1,0,1,0,1,0,0
FAAH,1,0,1,0,1,0,0,1,0,1,0,0,0,0
MOB3C,1,0,1,0,1,0,0,1,0,1,0,1,0,0
ATPAF1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
STIL,1,0,1,0,1,0,0,1,0,1,0,1,0,0
FOXD2.AS1,1,0,1,0,1,0,0,1,0,1,0,1,0,0
FOXD2,1,0,1,0,1,0,0,1,0,1,0,1,0,0
ELAVL4,0,0,0,0,0,0,0,0,0,1,0,0,0,0
KTI12,1,0,1,0,0,0,0,1,0,0,0,1,0,0
CC2D1B,1,0,1,0,1,0,0,1,0,1,0,1,0,0
ORC1,1,0,1,0,1,0,0,1,0,1,0,1,0,0
COA7,1,0,1,0,0,0,0,1,0,0,0,0,0,0
ZYG11A,1,0,1,0,1,0,0,1,0,1,0,1,0,0
GLIS1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
HNRNPA3P12,0,0,0,0,1,0,0,0,0,0,0,0,0,0
TMEM59,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MROH7.TTC4,0,0,1,0,0,0,0,0,0,0,0,0,0,0
TTC4,1,0,1,0,1,0,0,1,0,1,0,1,0,0
DHCR24,1,0,1,0,1,0,0,0,0,0,0,1,0,0
AC119674.1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
AC119674.2,1,0,1,0,1,0,0,1,0,1,0,1,0,0
DAB1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
MYSM1,1,0,1,0,1,0,0,1,0,1,0,1,0,0
JUN,1,0,1,0,1,0,0,1,0,1,0,1,0,0
FGGY,0,0,0,0,0,0,0,1,0,0,0,1,0,0
LINC01748,1,0,1,0,1,0,0,1,0,0,0,1,0,0
NFIA.AS2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
FOXD3,0,0,0,0,0,0,0,1,0,0,0,1,0,0
EFCAB7,1,0,1,0,1,0,0,1,0,0,0,0,0,0
PGM1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
CACHD1,1,0,1,0,1,0,0,0,0,1,0,1,0,0
JAK1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AK4,1,0,1,0,1,0,0,1,0,0,0,1,0,0
PDE4B,1,0,1,0,1,0,0,1,0,1,0,1,0,0
SGIP1,0,0,0,0,0,0,0,1,1,0,1,1,1,1
WDR78,1,0,1,0,1,0,0,0,0,0,0,0,0,0
SLC35D1,1,0,1,0,1,0,0,1,0,1,0,1,0,0
GADD45A,1,0,1,0,1,0,0,1,0,1,0,1,0,0
DEPDC1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
AL033530.1,1,0,1,0,0,0,0,0,0,1,0,0,0,0
AC135803.1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
CRYZ,1,0,0,0,1,0,0,0,0,0,0,0,0,0
LHX8,1,0,1,0,1,0,0,1,0,1,0,1,0,0
RABGGTB,1,0,1,0,1,0,0,0,0,0,0,0,0,0
MSH4,1,0,1,0,1,0,0,1,0,0,0,1,0,0
TPI1P1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ST6GALNAC5,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AL035409.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AK5,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AC138392.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
PTGFR,0,0,0,0,0,0,0,1,0,0,0,0,0,0
PRKACB,0,0,0,0,0,0,0,1,0,0,0,1,0,0
SAMD13,0,0,1,0,1,0,0,0,0,1,0,0,0,0
GNG5,0,0,1,0,1,0,0,0,0,0,0,0,0,0
WDR63,1,0,1,0,1,0,0,1,0,1,0,1,0,0
MCOLN3,1,0,1,0,1,0,0,1,0,0,0,1,0,0
AL603750.1,1,0,1,0,1,0,0,1,0,1,0,1,0,0
SYDE2,1,0,1,0,1,0,0,1,0,1,0,1,0,0
C1orf52,1,0,0,0,1,0,0,1,0,0,0,1,0,0
BCL10,1,0,0,0,1,0,0,1,0,0,0,1,0,0
CCN1,1,0,1,0,1,0,0,1,0,1,0,1,0,0
ZNHIT6,1,0,1,0,1,0,0,1,0,0,0,0,0,0
LINC02795,1,0,0,0,1,0,0,1,0,0,1,0,0,0
ODF2L,0,0,0,0,0,0,0,0,1,0,0,0,1,0
AC093155.3,0,0,0,0,0,0,0,1,1,0,1,1,1,1
GTF2B,0,0,0,0,0,0,0,1,0,0,0,1,0,0
GBP1P1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
AC099568.2,0,0,0,0,0,0,0,1,0,0,0,1,0,0
LRRC8D,1,0,1,0,0,0,0,1,0,0,0,0,0,0
GEMIN8P4,0,0,1,0,0,0,0,0,0,0,0,0,0,0
BARHL2,1,0,1,0,1,0,0,1,0,1,0,1,0,0
AC092805.1,0,0,0,0,0,0,0,1,1,0,1,1,1,1
LINC02609,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ZNF644,1,0,1,0,1,0,0,1,0,1,0,1,0,0
HFM1,1,0,1,0,1,0,0,1,0,1,0,1,0,0
CDC7,0,0,1,0,0,0,0,0,0,0,0,0,0,0
TGFBR3,1,0,1,0,1,0,0,1,0,1,0,1,0,0
BTBD8,0,0,1,0,1,0,0,0,0,0,0,0,0,0
DIPK1A,1,0,1,0,1,0,0,1,0,0,0,1,0,0
CCDC18,1,0,1,0,0,0,0,0,1,0,0,0,0,0
F3,0,0,0,0,0,0,0,0,0,0,0,1,0,0
TLCD4.RWDD3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
RPL7P9,0,0,0,0,1,0,0,0,0,0,0,1,0,0
PTBP2,1,0,1,0,1,0,0,1,0,1,0,1,0,0
SNX7,0,0,0,0,1,0,0,0,0,0,0,1,0,0
MFSD14A,1,0,1,0,1,0,0,0,0,1,0,0,0,0
TRMT13,1,0,1,0,1,0,0,1,0,1,0,0,0,0
LRRC39,1,0,1,0,1,0,0,1,1,1,1,1,1,1
DBT,0,0,1,0,1,0,0,0,0,1,0,0,0,0
RTCA.AS1,1,0,0,0,0,0,0,1,0,1,0,1,0,0
CDC14A,1,0,1,0,1,0,0,0,0,1,0,0,0,0
EXTL2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AC093157.1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
S1PR1,1,0,1,0,1,0,0,1,0,1,0,1,0,0
OLFM3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM102B,1,0,1,0,1,0,0,0,0,0,0,0,0,0
PRPF38B,1,0,1,0,1,0,0,1,0,0,0,0,0,0
GPSM2,1,0,1,0,1,0,0,1,0,1,0,1,0,0
WDR47,0,0,0,0,0,0,0,1,0,0,0,1,0,0
AL356488.3,0,0,0,0,0,0,0,1,0,1,0,1,0,0
TMEM167B,1,0,1,0,1,0,0,1,0,1,0,1,0,0
KIAA1324,1,0,0,0,0,0,0,1,0,0,1,0,0,0
CELSR2,1,0,1,0,1,0,0,1,0,1,0,1,0,0
ATXN7L2,1,0,1,0,1,0,0,1,0,0,0,1,0,0
AMIGO1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CSF1,0,0,0,0,0,0,0,1,1,0,0,1,0,0
STRIP1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
AL160006.1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
ALX3,0,0,0,0,1,0,0,0,0,0,0,0,0,0
RBM15,0,0,0,0,0,0,0,1,0,0,0,1,0,0
SLC16A4,0,0,0,0,0,0,0,1,1,0,1,1,1,1
AL355488.1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
KCNA2,1,0,1,0,0,0,0,1,0,1,0,0,0,0
LRIF1,1,0,1,0,1,0,0,1,0,1,0,1,0,0
AL360270.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OVGP1,1,0,1,0,1,0,0,1,0,1,1,1,0,0
C1orf162,1,0,1,0,1,0,0,1,0,1,0,1,0,0
LINC01160,0,0,0,0,0,0,0,1,0,0,0,0,0,0
DDX20,1,0,1,0,1,0,0,1,0,1,0,1,0,0
AL354760.1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
ST7L,1,0,1,0,1,0,0,1,0,1,0,1,0,0
SLC16A1,1,0,1,0,1,0,0,1,0,1,0,1,0,0
SLC16A1.AS1,1,0,1,0,1,0,0,1,0,1,0,1,0,0
LRIG2,1,0,1,0,1,0,0,1,0,1,0,1,0,0
AL391058.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
RSBN1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
BCL2L15,1,0,1,0,1,0,0,1,0,0,1,1,0,1
AP4B1,1,0,1,0,1,0,0,1,0,1,0,1,0,0
HIPK1.AS1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
OLFML3,0,0,0,0,0,0,0,0,0,0,0,1,0,1
SYT6,1,0,1,0,1,0,0,1,0,1,0,1,0,0
TRIM33,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AMPD1,0,0,0,0,0,0,0,1,1,0,1,1,1,1
NRAS,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CSDE1,1,0,1,0,1,0,0,1,0,1,0,1,0,0
TSPAN2,0,0,0,0,0,0,0,1,0,0,1,0,0,0
VANGL1,1,0,1,0,1,0,0,1,0,1,0,1,0,0
SLC22A15,1,0,1,0,1,0,0,1,0,1,0,1,0,0
ATP1A1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
IGSF3,1,0,1,0,1,0,0,1,0,1,0,1,0,0
PTGFRN,1,0,1,0,1,0,0,1,0,1,0,1,0,0
CD101,0,0,0,0,0,0,0,0,1,0,0,0,0,0
MAN1A2,1,0,0,0,1,0,0,1,0,0,1,1,0,0
TENT5C,1,0,1,0,1,0,0,1,0,1,0,1,0,0
TBX15,1,0,1,0,1,0,0,1,0,1,0,1,0,0
HAO2,1,0,1,0,0,0,0,1,0,0,0,0,0,0
PHGDH,1,0,1,0,1,0,0,1,0,0,0,0,0,0
NOTCH2,1,0,1,0,1,0,0,1,0,1,0,1,0,0
NBPF8,1,0,1,0,1,0,0,1,0,1,0,1,0,0
AC241952.2,1,0,1,0,1,0,0,1,0,1,0,1,0,0
NBPF26,0,0,1,0,0,0,0,0,0,0,0,1,0,0
LINC02798,0,0,0,0,0,0,0,1,1,0,1,1,1,1
AL592494.2,0,0,0,0,0,0,0,1,0,0,0,1,0,0
EMBP1,1,0,1,0,1,0,0,0,0,1,0,0,0,0
RNVU1.18,0,0,0,0,0,0,0,0,1,0,0,0,0,0
AC245595.1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
LINC01632,1,0,1,0,1,0,0,1,0,1,0,1,0,0
LINC01145,0,0,0,0,1,0,0,1,0,1,0,1,0,0
AC239860.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AC239860.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
PDZK1,1,0,1,0,1,0,0,1,0,0,0,0,0,0
POLR3C,1,0,1,0,1,0,0,1,0,0,0,1,0,0
NUDT17,0,0,1,0,1,0,0,1,0,0,0,1,0,0
LIX1L,1,0,1,0,1,0,0,1,0,1,0,1,0,0
TXNIP,1,0,1,0,1,0,0,1,0,1,0,1,0,0
NBPF10,0,0,1,0,1,0,0,0,0,0,0,1,0,0
AC245407.2,0,0,0,0,0,0,0,1,1,0,0,0,0,0
NBPF12,1,0,1,0,1,0,0,1,0,1,0,1,0,0
AC241584.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
PRKAB2,0,0,1,0,1,0,0,1,0,0,0,1,0,0
LINC00624,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ACP6,0,0,0,0,0,0,0,1,0,0,0,0,0,0
GPR89B,1,0,1,0,1,0,0,1,0,1,0,1,0,0
LINC02804,1,0,1,0,1,0,0,1,0,1,0,1,0,0
NBPF11,1,0,1,0,1,0,0,1,0,1,0,1,0,0
AC245100.4,1,0,1,0,1,0,0,1,0,1,1,1,0,1
AC239804.1,1,0,1,0,1,0,0,0,0,0,0,1,0,0
NOTCH2NLC,1,0,1,0,1,0,0,1,0,1,0,1,0,0
AC242842.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
NBPF19,0,0,1,0,0,0,0,0,0,0,0,0,0,0
H2BC18,1,0,1,0,1,0,0,1,0,1,0,1,0,0
