chr,strand,geneSymbol,GeneID,Event,Algorithm,FDR,PValue,dPSI,M,PSI_1,PSI_2,Event_info,Annotation_leafcutter,Cutoff_dPSI,Event_type,Junc_coords,PdPSI,Comparison_Name
chr5,+,SMN1,ENSG00000172062.16,ENSG00000172062.16:t:70952439-70953040,majiq_v2,NA,NA,0.4796,,0.9919,0.5042,lsv_type:t|1e1.1o1|1e2.1o1|1e3.1o1|exons_coords:70946089-70946278;70946707-70946815;70951941-70952347;70952439-70953040|ir_coords:,,0.4,NA,70951994-70952439,0.9982,SH_BIO_1949634_10x_vs_SH_DMSO
chr5,+,SMN2,,chr5:clu_19100_+,leafcutter,1.07466470353512e-21,4.46623183249573e-26,0.175870637975361,Success,0.192727983220765,0.368598621196126,logef:1.0944635262586|loglr:64.3558420872941|df:5|genes:SMN2|N:6|coord:chr5:70070751-70077019|chr5:70070751:70076521:clu_19100_+,cryptic,NA,NA,,NA,SH_BIO_1949634_3x_vs_SH_DMSO
chr5,+,SMN2,,chr5:clu_19100_+,leafcutter,1.07466470353512e-21,4.46623183249573e-26,-0.34249441518597,Success,0.417733186765901,0.0752387715799311,logef:-1.26814123887116|loglr:64.3558420872941|df:5|genes:SMN2|N:6|coord:chr5:70070751-70077019|chr5:70070751:70077019:clu_19100_+,cryptic,NA,NA,,NA,SH_BIO_1949634_3x_vs_SH_DMSO
chr5,+,SMN2,,chr5:clu_19100_+,leafcutter,1.07466470353512e-21,4.46623183249573e-26,0.18446063973324,Success,0.35363668917302,0.53809732890626,logef:0.86580437125747|loglr:64.3558420872941|df:5|genes:SMN2|N:6|coord:chr5:70070751-70077019|chr5:70076574:70077019:clu_19100_+,cryptic,NA,NA,,NA,SH_BIO_1949634_3x_vs_SH_DMSO
chr5,+,SMN1,,chr5:clu_19118_+,leafcutter,6.05795103875336e-16,1.76234964970799e-19,-0.198311541568887,Success,0.261845469827678,0.0635339282587907,logef:-0.789665304038089|loglr:48.7587148462044|df:5|genes:SMN1|N:6|coord:chr5:70946176-70952439|chr5:70946176:70952439:clu_19118_+,cryptic,NA,NA,,NA,SH_BIO_1949634_3x_vs_SH_DMSO
chr5,+,SMN1,,chr5:clu_19118_+,leafcutter,6.05795103875336e-16,1.76234964970799e-19,0.149693472116283,Success,0.360967343827126,0.510660815943409,logef:0.973433260009728|loglr:48.7587148462044|df:5|genes:SMN1|N:6|coord:chr5:70946176-70952439|chr5:70951994:70952439:clu_19118_+,cryptic,NA,NA,,NA,SH_BIO_1949634_3x_vs_SH_DMSO
chr5,+,SMN1,ENSG00000172062.16,ENSG00000172062.16:s:70946089-70946278,majiq_v2,NA,NA,0.2844,,0.8246,0.5457,lsv_type:s|1e1.1o1|1e2.1o1|1e3.1o1|exons_coords:70946089-70946278;70946707-70946815;70951941-70952347;70952439-70953040|ir_coords:,,0.1,NA,70946176-70951941,1,SH_BIO_1949634_3x_vs_SH_DMSO
chr5,+,SMN1,ENSG00000172062.16,ENSG00000172062.16:s:70946089-70946278,majiq_v2,NA,NA,-0.2799,,0.1624,0.4412,lsv_type:s|1e1.1o1|1e2.1o1|1e3.1o1|exons_coords:70946089-70946278;70946707-70946815;70951941-70952347;70952439-70953040|ir_coords:,,0.1,NA,70946176-70952439,1,SH_BIO_1949634_3x_vs_SH_DMSO
chr5,+,SMN1,ENSG00000172062.16,ENSG00000172062.16:t:70952439-70953040,majiq_v2,NA,NA,-0.3056,,0.1892,0.4913,lsv_type:t|1e1.1o1|1e2.1o1|1e3.1o1|exons_coords:70946089-70946278;70946707-70946815;70951941-70952347;70952439-70953040|ir_coords:,,0.1,NA,70946176-70952439,1,SH_BIO_1949634_3x_vs_SH_DMSO
chr5,+,SMN1,ENSG00000172062.16,ENSG00000172062.16:t:70952439-70953040,majiq_v2,NA,NA,0.308,,0.8072,0.5042,lsv_type:t|1e1.1o1|1e2.1o1|1e3.1o1|exons_coords:70946089-70946278;70946707-70946815;70951941-70952347;70952439-70953040|ir_coords:,,0.1,NA,70951994-70952439,1,SH_BIO_1949634_3x_vs_SH_DMSO
chr5,+,SMN1,ENSG00000172062.16,ENSG00000172062.16:s:70946089-70946278,majiq_v2,NA,NA,0.2844,,0.8246,0.5457,lsv_type:s|1e1.1o1|1e2.1o1|1e3.1o1|exons_coords:70946089-70946278;70946707-70946815;70951941-70952347;70952439-70953040|ir_coords:,,0.2,NA,70946176-70951941,0.9861,SH_BIO_1949634_3x_vs_SH_DMSO
chr5,+,SMN1,ENSG00000172062.16,ENSG00000172062.16:s:70946089-70946278,majiq_v2,NA,NA,-0.2799,,0.1624,0.4412,lsv_type:s|1e1.1o1|1e2.1o1|1e3.1o1|exons_coords:70946089-70946278;70946707-70946815;70951941-70952347;70952439-70953040|ir_coords:,,0.2,NA,70946176-70952439,0.9934,SH_BIO_1949634_3x_vs_SH_DMSO
chr5,+,SMN1,ENSG00000172062.16,ENSG00000172062.16:t:70952439-70953040,majiq_v2,NA,NA,-0.3056,,0.1892,0.4913,lsv_type:t|1e1.1o1|1e2.1o1|1e3.1o1|exons_coords:70946089-70946278;70946707-70946815;70951941-70952347;70952439-70953040|ir_coords:,,0.2,NA,70946176-70952439,0.9977,SH_BIO_1949634_3x_vs_SH_DMSO
chr5,+,SMN1,ENSG00000172062.16,ENSG00000172062.16:t:70952439-70953040,majiq_v2,NA,NA,0.308,,0.8072,0.5042,lsv_type:t|1e1.1o1|1e2.1o1|1e3.1o1|exons_coords:70946089-70946278;70946707-70946815;70951941-70952347;70952439-70953040|ir_coords:,,0.2,NA,70951994-70952439,0.9985,SH_BIO_1949634_3x_vs_SH_DMSO
chr4,+,HTT,ENSG00000197386.12,SE,rmats_turbo,0.000863077552082565,1.63384297602e-06,0.114,436.25,0.97625,0.862,exonStart_0base:3199731|exonEnd:3199939|upstreamES:3187650|upstreamEE:3189093|downstreamES:3204006|downstreamEE:3204148|IJC_SAMPLE_1:583;404;339;419|SJC_SAMPLE_1:3;5;3;2|IJC_SAMPLE_2:97;126;304;59|SJC_SAMPLE_2:10;3;7;4|IncFormLen:307|SkipFormLen:99|PSI_1_persub:0.984;0.963;0.973;0.985|PSI_2_persub:0.758;0.931;0.933;0.826,,NA,NA,,NA,SH_BIO_2178782_10x_vs_SH_BIO_1949634_10x
chr4,+,HTT,,chr4:clu_18779_+,leafcutter,0.000286702314068913,8.27709685637897e-07,0.110585745584232,Success,0.016323100971038,0.12690884655527,logef:0.630616540632182|loglr:15.5274633680876|df:3|genes:HTT|N:4|coord:chr4:3212709-3213958|chr4:3212709:3213490:clu_18779_+,cryptic,NA,NA,,NA,SH_BIO_2178782_10x_vs_SH_BIO_1949634_10x
chr4,+,HTT,,chr4:clu_18779_+,leafcutter,0.000286702314068913,8.27709685637897e-07,0.232493221195286,Success,0.0438715732334845,0.276364794428771,logef:0.420183933665766|loglr:15.5274633680876|df:3|genes:HTT|N:4|coord:chr4:3212709-3213958|chr4:3212709:3213622:clu_18779_+,cryptic,NA,NA,,NA,SH_BIO_2178782_10x_vs_SH_BIO_1949634_10x
chr4,+,HTT,,chr4:clu_18779_+,leafcutter,0.000286702314068913,8.27709685637897e-07,-0.598003562473624,Success,0.923849712679276,0.325846150205652,logef:-2.46239527420946|loglr:15.5274633680876|df:3|genes:HTT|N:4|coord:chr4:3212709-3213958|chr4:3212709:3213958:clu_18779_+,cryptic,NA,NA,,NA,SH_BIO_2178782_10x_vs_SH_BIO_1949634_10x
chr4,+,HTT,,chr4:clu_18779_+,leafcutter,0.000286702314068913,8.27709685637897e-07,0.254924595694105,Success,0.0159556131162018,0.270880208810307,logef:1.41159479991151|loglr:15.5274633680876|df:3|genes:HTT|N:4|coord:chr4:3212709-3213958|chr4:3213736:3213958:clu_18779_+,cryptic,NA,NA,,NA,SH_BIO_2178782_10x_vs_SH_BIO_1949634_10x
chr4,+,HTT,ENSG00000197386.12,ENSG00000197386.12:s:3212564-3213055,majiq_v2,NA,NA,0.2893,,0.3312,0.047,lsv_type:s|1e1.1o2|1e1.2o2|1e2.1o1|exons_coords:3212564-3213055;3213490-3213736;3213958-3214156|ir_coords:,,0.1,NA,3212709-3213622,0.9999,SH_BIO_2178782_10x_vs_SH_BIO_1949634_10x
chr4,+,HTT,ENSG00000197386.12,ENSG00000197386.12:s:3212564-3213055,majiq_v2,NA,NA,-0.3742,,0.5512,0.934,lsv_type:s|1e1.1o2|1e1.2o2|1e2.1o1|exons_coords:3212564-3213055;3213490-3213736;3213958-3214156|ir_coords:,,0.1,NA,3212709-3213958,1,SH_BIO_2178782_10x_vs_SH_BIO_1949634_10x
chr4,+,HTT,ENSG00000197386.12,ENSG00000197386.12:t:3213958-3214156,majiq_v2,NA,NA,-0.2582,,0.709,0.9716,lsv_type:t|1e1.1o1|1e2.1o1|exons_coords:3212564-3213055;3213490-3213736;3213958-3214156|ir_coords:,,0.1,NA,3212709-3213958,0.9986,SH_BIO_2178782_10x_vs_SH_BIO_1949634_10x
chr4,+,HTT,ENSG00000197386.12,ENSG00000197386.12:t:3213958-3214156,majiq_v2,NA,NA,0.2582,,0.291,0.0284,lsv_type:t|1e1.1o1|1e2.1o1|exons_coords:3212564-3213055;3213490-3213736;3213958-3214156|ir_coords:,,0.1,NA,3213736-3213958,0.9986,SH_BIO_2178782_10x_vs_SH_BIO_1949634_10x
chr4,+,HTT,ENSG00000197386.12,ENSG00000197386.12:s:3212564-3213055,majiq_v2,NA,NA,0.2893,,0.3312,0.047,lsv_type:s|1e1.1o2|1e1.2o2|1e2.1o1|exons_coords:3212564-3213055;3213490-3213736;3213958-3214156|ir_coords:,,0.2,NA,3212709-3213622,0.9333,SH_BIO_2178782_10x_vs_SH_BIO_1949634_10x
chr4,+,HTT,ENSG00000197386.12,ENSG00000197386.12:s:3212564-3213055,majiq_v2,NA,NA,-0.3742,,0.5512,0.934,lsv_type:s|1e1.1o2|1e1.2o2|1e2.1o1|exons_coords:3212564-3213055;3213490-3213736;3213958-3214156|ir_coords:,,0.2,NA,3212709-3213958,0.9991,SH_BIO_2178782_10x_vs_SH_BIO_1949634_10x
chr4,+,HTT,ENSG00000197386.12,SE,rmats_turbo,2.86457962429597e-05,7.31035215695e-08,0.12,479.25,0.98225,0.862,exonStart_0base:3199731|exonEnd:3199939|upstreamES:3187650|upstreamEE:3189093|downstreamES:3204006|downstreamEE:3204148|IJC_SAMPLE_1:449;489;539;440|SJC_SAMPLE_1:6;2;2;1|IJC_SAMPLE_2:97;126;304;59|SJC_SAMPLE_2:10;3;7;4|IncFormLen:307|SkipFormLen:99|PSI_1_persub:0.96;0.987;0.989;0.993|PSI_2_persub:0.758;0.931;0.933;0.826,,NA,NA,,NA,SH_BIO_2178782_10x_vs_SH_DMSO
chr4,+,HTT,,chr4:clu_17554_+,leafcutter,0.000157656950249292,1.23761885437211e-06,0.3324019668435,Success,1.46395283169775e-06,0.332403430796331,logef:4.42865000806781|loglr:13.6023213031784|df:2|genes:HTT|N:3|coord:chr4:3212709-3213958|chr4:3212709:3213622:clu_17554_+,cryptic,NA,NA,,NA,SH_BIO_2178782_10x_vs_SH_DMSO
chr4,+,HTT,,chr4:clu_17554_+,leafcutter,0.000157656950249292,1.23761885437211e-06,-0.617266685003988,Success,0.999997290750327,0.38273060574634,logef:-8.86473566618433|loglr:13.6023213031784|df:2|genes:HTT|N:3|coord:chr4:3212709-3213958|chr4:3212709:3213958:clu_17554_+,cryptic,NA,NA,,NA,SH_BIO_2178782_10x_vs_SH_DMSO
chr4,+,HTT,,chr4:clu_17554_+,leafcutter,0.000157656950249292,1.23761885437211e-06,0.284864718160488,Success,1.24529684093542e-06,0.284865963457329,logef:4.43608565811653|loglr:13.6023213031784|df:2|genes:HTT|N:3|coord:chr4:3212709-3213958|chr4:3213736:3213958:clu_17554_+,cryptic,NA,NA,,NA,SH_BIO_2178782_10x_vs_SH_DMSO
chr5,+,SMN2,,chr5:clu_19085_+,leafcutter,1.48619803963662e-11,1.4572432498462e-14,0.213468078405741,Success,0.184049291028227,0.397517369433968,logef:1.32740834409915|loglr:37.032896214203|df:5|genes:SMN2|N:6|coord:chr5:70070751-70077019|chr5:70070751:70076521:clu_19085_+,cryptic,NA,NA,,NA,SH_BIO_2178782_10x_vs_SH_DMSO
chr5,+,SMN2,,chr5:clu_19085_+,leafcutter,1.48619803963662e-11,1.4572432498462e-14,-0.383470174631067,Success,0.419426489926767,0.0359563152957006,logef:-1.89921021832681|loglr:37.032896214203|df:5|genes:SMN2|N:6|coord:chr5:70070751-70077019|chr5:70070751:70077019:clu_19085_+,cryptic,NA,NA,,NA,SH_BIO_2178782_10x_vs_SH_DMSO
chr5,+,SMN2,,chr5:clu_19085_+,leafcutter,1.48619803963662e-11,1.4572432498462e-14,0.189912878257343,Success,0.354307467467576,0.544220345724919,logef:0.986562445833108|loglr:37.032896214203|df:5|genes:SMN2|N:6|coord:chr5:70070751-70077019|chr5:70076574:70077019:clu_19085_+,cryptic,NA,NA,,NA,SH_BIO_2178782_10x_vs_SH_DMSO
chr5,+,SMN1,,chr5:clu_19102_+,leafcutter,8.42816750027335e-09,1.72465379210095e-11,-0.236136616999792,Success,0.266302855437082,0.0301662384372895,logef:-1.39076358136093|loglr:28.1560729172779|df:4|genes:SMN1|N:5|coord:chr5:70946176-70952439|chr5:70946176:70952439:clu_19102_+,annotated,NA,NA,,NA,SH_BIO_2178782_10x_vs_SH_DMSO
chr5,+,SMN1,,chr5:clu_19102_+,leafcutter,8.42816750027335e-09,1.72465379210095e-11,0.180785659372954,Success,0.355621959371409,0.536407618744363,logef:1.19817336758237|loglr:28.1560729172779|df:4|genes:SMN1|N:5|coord:chr5:70946176-70952439|chr5:70951994:70952439:clu_19102_+,annotated,NA,NA,,NA,SH_BIO_2178782_10x_vs_SH_DMSO
chr5,+,SMN1,ENSG00000172062.16,ENSG00000172062.16:s:70946089-70946278,majiq_v2,NA,NA,0.3595,,0.8972,0.5457,lsv_type:s|1e1.1o1|1e2.1o1|1e3.1o1|exons_coords:70946089-70946278;70946707-70946815;70951941-70952347;70952439-70953040|ir_coords:,,0.1,NA,70946176-70951941,1,SH_BIO_2178782_10x_vs_SH_DMSO
chr5,+,SMN1,ENSG00000172062.16,ENSG00000172062.16:s:70946089-70946278,majiq_v2,NA,NA,-0.3697,,0.0887,0.4412,lsv_type:s|1e1.1o1|1e2.1o1|1e3.1o1|exons_coords:70946089-70946278;70946707-70946815;70951941-70952347;70952439-70953040|ir_coords:,,0.1,NA,70946176-70952439,1,SH_BIO_2178782_10x_vs_SH_DMSO
chr5,+,SMN1,ENSG00000172062.16,ENSG00000172062.16:t:70952439-70953040,majiq_v2,NA,NA,-0.4052,,0.0948,0.4913,lsv_type:t|1e1.1o1|1e2.1o1|1e3.1o1|exons_coords:70946089-70946278;70946707-70946815;70951941-70952347;70952439-70953040|ir_coords:,,0.1,NA,70946176-70952439,1,SH_BIO_2178782_10x_vs_SH_DMSO
chr5,+,SMN1,ENSG00000172062.16,ENSG00000172062.16:t:70952439-70953040,majiq_v2,NA,NA,0.4104,,0.9046,0.5042,lsv_type:t|1e1.1o1|1e2.1o1|1e3.1o1|exons_coords:70946089-70946278;70946707-70946815;70951941-70952347;70952439-70953040|ir_coords:,,0.1,NA,70951994-70952439,1,SH_BIO_2178782_10x_vs_SH_DMSO
chr5,+,SMN2,ENSG00000205571.14,ENSG00000205571.14:t:70077019-70077596,majiq_v2,NA,NA,0.1825,,0.8863,0.6965,lsv_type:t|1e1.1o1|1e2.1o1|1e3.1o1|i|exons_coords:70070664-70070849;70071282-70071390;70076521-70076927;70077019-70077596|ir_coords:70076928-70077018,,0.1,NA,70076574-70077019,0.9997,SH_BIO_2178782_10x_vs_SH_DMSO
chr5,+,SMN2,ENSG00000205571.14,ENSG00000205571.14:t:70077019-70077596,majiq_v2,NA,NA,-0.1762,,0.112,0.2974,lsv_type:t|1e1.1o1|1e2.1o1|1e3.1o1|i|exons_coords:70070664-70070849;70071282-70071390;70076521-70076927;70077019-70077596|ir_coords:70076928-70077018,,0.1,NA,70076928-70077018,0.9985,SH_BIO_2178782_10x_vs_SH_DMSO
chr4,+,HTT,ENSG00000197386.12,ENSG00000197386.12:s:3212564-3213055,majiq_v2,NA,NA,0.3153,,0.3405,7e-04,lsv_type:s|1e1.1o2|1e1.2o2|1e2.1o1|exons_coords:3212564-3213055;3213490-3213736;3213958-3214156|ir_coords:,,0.1,NA,3212709-3213622,1,SH_BIO_2178782_10x_vs_SH_DMSO
chr4,+,HTT,ENSG00000197386.12,ENSG00000197386.12:s:3212564-3213055,majiq_v2,NA,NA,-0.4116,,0.5741,0.9987,lsv_type:s|1e1.1o2|1e1.2o2|1e2.1o1|exons_coords:3212564-3213055;3213490-3213736;3213958-3214156|ir_coords:,,0.1,NA,3212709-3213958,1,SH_BIO_2178782_10x_vs_SH_DMSO
chr4,+,HTT,ENSG00000197386.12,ENSG00000197386.12:t:3213958-3214156,majiq_v2,NA,NA,-0.2521,,0.7189,0.999,lsv_type:t|1e1.1o1|1e2.1o1|exons_coords:3212564-3213055;3213490-3213736;3213958-3214156|ir_coords:,,0.1,NA,3212709-3213958,0.9988,SH_BIO_2178782_10x_vs_SH_DMSO
chr4,+,HTT,ENSG00000197386.12,ENSG00000197386.12:t:3213958-3214156,majiq_v2,NA,NA,0.2521,,0.2811,0.001,lsv_type:t|1e1.1o1|1e2.1o1|exons_coords:3212564-3213055;3213490-3213736;3213958-3214156|ir_coords:,,0.1,NA,3213736-3213958,0.9988,SH_BIO_2178782_10x_vs_SH_DMSO
chr5,+,SMN1,ENSG00000172062.16,ENSG00000172062.16:s:70946089-70946278,majiq_v2,NA,NA,0.3595,,0.8972,0.5457,lsv_type:s|1e1.1o1|1e2.1o1|1e3.1o1|exons_coords:70946089-70946278;70946707-70946815;70951941-70952347;70952439-70953040|ir_coords:,,0.2,NA,70946176-70951941,1,SH_BIO_2178782_10x_vs_SH_DMSO
chr5,+,SMN1,ENSG00000172062.16,ENSG00000172062.16:s:70946089-70946278,majiq_v2,NA,NA,-0.3697,,0.0887,0.4412,lsv_type:s|1e1.1o1|1e2.1o1|1e3.1o1|exons_coords:70946089-70946278;70946707-70946815;70951941-70952347;70952439-70953040|ir_coords:,,0.2,NA,70946176-70952439,1,SH_BIO_2178782_10x_vs_SH_DMSO
chr5,+,SMN1,ENSG00000172062.16,ENSG00000172062.16:t:70952439-70953040,majiq_v2,NA,NA,-0.4052,,0.0948,0.4913,lsv_type:t|1e1.1o1|1e2.1o1|1e3.1o1|exons_coords:70946089-70946278;70946707-70946815;70951941-70952347;70952439-70953040|ir_coords:,,0.2,NA,70946176-70952439,1,SH_BIO_2178782_10x_vs_SH_DMSO
chr5,+,SMN1,ENSG00000172062.16,ENSG00000172062.16:t:70952439-70953040,majiq_v2,NA,NA,0.4104,,0.9046,0.5042,lsv_type:t|1e1.1o1|1e2.1o1|1e3.1o1|exons_coords:70946089-70946278;70946707-70946815;70951941-70952347;70952439-70953040|ir_coords:,,0.2,NA,70951994-70952439,1,SH_BIO_2178782_10x_vs_SH_DMSO
chr4,+,HTT,ENSG00000197386.12,ENSG00000197386.12:s:3212564-3213055,majiq_v2,NA,NA,0.3153,,0.3405,7e-04,lsv_type:s|1e1.1o2|1e1.2o2|1e2.1o1|exons_coords:3212564-3213055;3213490-3213736;3213958-3214156|ir_coords:,,0.2,NA,3212709-3213622,0.9881,SH_BIO_2178782_10x_vs_SH_DMSO
chr4,+,HTT,ENSG00000197386.12,ENSG00000197386.12:s:3212564-3213055,majiq_v2,NA,NA,-0.4116,,0.5741,0.9987,lsv_type:s|1e1.1o2|1e1.2o2|1e2.1o1|exons_coords:3212564-3213055;3213490-3213736;3213958-3214156|ir_coords:,,0.2,NA,3212709-3213958,1,SH_BIO_2178782_10x_vs_SH_DMSO
